"SiteID","Primary_Panel","Electrical_Panel_Label","Electrical_Panel_Type","Electrical_Panel_Brand","Electrical_Panel_Brand_Other","Electrical_Panel_Vintage","Electrical_Panel_Capacity"
"SITE_1192","Primary",NA,"Fuse Panel","Bulldog Electric",NA,"Unknown","200"
"SITE_1193","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"1999","200"
"SITE_1194","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1194","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1195","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1196","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","125"
"SITE_1197","Primary",NA,"Breaker Panel","Other","Well-Guard","Unknown","200"
"SITE_1198","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1199","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_12","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_120","Secondary",NA,"Fuse Panel","General Switch Corp",NA,"Unknown","Unknown"
"SITE_120","Primary",NA,"Fuse Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_120","Secondary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"Unknown","Unknown"
"SITE_120","Secondary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"Unknown","Unknown"
"SITE_120","Secondary",NA,"Fuse Panel","Square D",NA,"Unknown","Unknown"
"SITE_120","Secondary",NA,"Fuse Panel","Arrow-Hart/Murray",NA,"Unknown","Unknown"
"SITE_1200","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1201","Primary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"Unknown","70"
"SITE_1201","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","100"
"SITE_1202","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1203","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1203","Secondary",NA,"Breaker Panel","Other","Generac","Unknown","70"
"SITE_1204","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1205","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","100"
"SITE_1206","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1207","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1208","Primary",NA,"Breaker Panel","Square D",NA,"2017","200"
"SITE_121","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2000","100"
"SITE_1210","Primary",NA,"Breaker Panel","Square D",NA,"2016","200"
"SITE_1211","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1212","Primary",NA,"Breaker Panel","Square D",NA,"1993","Unknown"
"SITE_1213","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1214","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_1215","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1216","Unknown","Panel 1","Breaker Panel","Square D",NA,"2021","200"
"SITE_1216","Unknown","Panel 2","Breaker Panel","Square D",NA,"2021","200"
"SITE_1217","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1977","Unknown"
"SITE_1217","Secondary",NA,"Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_1218","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","125"
"SITE_1219","Primary",NA,"Breaker Panel","Square D",NA,"2004","200"
