"SiteID","Meter_ID","Meter_Type","Smart_Meter","Meter_Serves"
"SITE_1237","MTR_2","Gas","No","House"
"SITE_1238","MTR_1","Electric","Yes","House"
"SITE_1239","MTR_1","Electric","Yes","Whole house"
"SITE_1239","MTR_2","Gas","No","Whole house"
"SITE_124","MTR_1","Electric","Yes","Whole property"
"SITE_1240","MTR_1","Gas","No","Whole house"
"SITE_1240","MTR_2","Electric","Yes","Whole house"
"SITE_1241","MTR_1","Electric","Yes","Unknown"
"SITE_1242","MTR_1","Gas","No","House"
"SITE_1242","MTR_2","Electric","Yes","House"
"SITE_1243","MTR_1","Electric","No","House"
"SITE_1243","MTR_2","Gas","No","House"
"SITE_1244","MTR_1","Gas","No","House"
"SITE_1244","MTR_2","Electric","Yes","House"
"SITE_1245","MTR_1","Electric","Yes","House"
"SITE_1246","MTR_1","Electric","Yes","House"
"SITE_1247","MTR_1","Gas","No","House"
"SITE_1247","MTR_2","Electric","Yes","House"
"SITE_1248","MTR_1","Electric","Yes","House"
"SITE_1249","MTR_1","Electric","Yes","Unknown"
"SITE_1249","MTR_2","Gas","Unknown","Forgot to grab this.. sorry"
"SITE_125","MTR_1","Electric","No","House"
"SITE_125","MTR_2","Gas","No","House"
"SITE_1250","MTR_1","Electric","No","House and garage"
"SITE_1250","MTR_2","Gas","No","House"
"SITE_1251","MTR_1","Electric","Yes","House and outbuildings"
"SITE_1251","MTR_2","Gas","No","House"
"SITE_1252","MTR_1","Electric","Yes","Unknown"
"SITE_1253","MTR_1","Gas","No","House"
"SITE_1253","MTR_2","Electric","Yes","House"
"SITE_1254","MTR_1","Electric","Yes","House"
"SITE_1254","MTR_2","Gas","No","House"
"SITE_1255","MTR_1","Gas","No","House"
"SITE_1255","MTR_2","Electric","Yes","House"
"SITE_1256","MTR_1","Electric","Unknown","Unknown"
"SITE_1257","MTR_1","Electric","No","The whole home"
"SITE_1257","MTR_2","Gas","No","The whole home"
"SITE_1258","MTR_1","Electric","Yes","Whole house"
"SITE_1259","MTR_1","Electric","Yes","Unknown"
"SITE_126","MTR_1","Electric","Yes","Unknown"
"SITE_126","MTR_2","Gas","No","Unknown"
"SITE_1260","MTR_1","Gas","No","House"
"SITE_1260","MTR_2","Electric","Yes","House"
"SITE_1261","MTR_1","Electric","Yes","Whole property"
"SITE_1262","MTR_1","Gas","No","House"
"SITE_1262","MTR_2","Electric","Yes","House"
"SITE_1263","MTR_1","Electric","Yes","House"
"SITE_1264","MTR_1","Gas","No","House"
"SITE_1264","MTR_2","Electric","No","House and outbuilding"
"SITE_1265","MTR_1","Electric","Yes","Whole house"
"SITE_1265","MTR_2","Gas","No","Whole house"
"SITE_1266","MTR_1","Gas","No","Residence"
"SITE_1266","MTR_2","Electric","Yes","Residence"
"SITE_1267","MTR_1","Electric","Yes","The house"
"SITE_1267","MTR_2","Electric","Yes","For solar panels"
"SITE_1269","MTR_1","Gas","No","Whole property"
"SITE_127","MTR_2","Electric","Yes","Residence"
"SITE_127","MTR_1","Gas","No","Residence"
"SITE_1270","MTR_1","Gas","No","Whole house"
"SITE_1270","MTR_2","Electric","Yes","Whole house"
"SITE_1271","MTR_1","Electric","Yes","House"
"SITE_1272","MTR_1","Electric","Yes","House"
"SITE_1273","MTR_1","Electric","Yes","The whole home"
"SITE_1274","MTR_1","Electric","No","House and garage"
"SITE_1274","MTR_2","Gas","No","House"
"SITE_1276","MTR_1","Electric","Yes","House"
"SITE_1276","MTR_2","Electric","Yes","Out buildings"
"SITE_1276","MTR_3","Gas","No","House"
"SITE_1277","MTR_1","Electric","Yes","Residence"
"SITE_1278","MTR_1","Electric","No","House and garage"
"SITE_1278","MTR_2","Gas","No","House"
"SITE_1279","MTR_1","Electric","Yes","Whole house + detached garage"
"SITE_128","MTR_1","Electric","Yes","House"
"SITE_128","MTR_2","Gas","No","House"
"SITE_1280","MTR_1","Electric","Yes","Whole property"
"SITE_1281","MTR_1","Gas","No","House"
"SITE_1281","MTR_2","Electric","No","House and garage"
"SITE_1282","MTR_1","Electric","Yes","Whole house"
"SITE_1283","MTR_1","Electric","Yes","Residence"
"SITE_1284","MTR_1","Gas","No","House"
"SITE_1284","MTR_2","Electric","Yes","House"
"SITE_1285","MTR_1","Electric","Yes","House"
"SITE_1286","MTR_1","Electric","Yes","Home"
"SITE_1287","MTR_1","Gas","No","Whole house"
"SITE_1287","MTR_2","Electric","Yes","Whole house"
"SITE_1288","MTR_1","Electric","Yes","Whole house"
"SITE_1289","MTR_1","Electric","Yes","The whole home"
"SITE_129","MTR_1","Electric","Yes","Home"
"SITE_129","MTR_2","Gas","No","Home"
"SITE_1290","MTR_1","Electric","Yes","House"
"SITE_1290","MTR_2","Gas","No","House"
"SITE_1291","MTR_1","Electric","Yes","House"
"SITE_1292","MTR_1","Electric","Yes","House"
"SITE_1293","MTR_1","Electric","Yes","Property"
"SITE_1295","MTR_1","Electric","Yes","Whole property"
"SITE_1295","MTR_2","Gas","No","Main house"
"SITE_1295","MTR_3","Electric","Yes","Solar production meter"
"SITE_1296","MTR_1","Electric","Yes","Whole house and outbuildings"
"SITE_1297","MTR_1","Electric","Yes","House, shop, well"
"SITE_1298","MTR_1","Electric","Yes","House"
"SITE_1299","MTR_1","Gas","No","Unknown"
"SITE_1299","MTR_2","Electric","Yes","Unknown"
"SITE_13","MTR_1","Electric","Yes","Whole house"
"SITE_130","MTR_1","Electric","No","Unknown"
"SITE_1300","MTR_1","Electric","Yes","Unknown"
"SITE_1301","MTR_1","Electric","Yes","House (all)"
"SITE_1302","MTR_1","Electric","Yes","Residence"
"SITE_1303","MTR_1","Electric","Yes","House"
"SITE_1304","MTR_1","Electric","Yes","House"
"SITE_1304","MTR_2","Gas","No","House"
"SITE_1305","MTR_1","Electric","Yes","Whole home"
"SITE_1306","MTR_1","Electric","Yes","House and shop"
"SITE_1306","MTR_2","Gas","No","House and shop"
"SITE_1308","MTR_1","Electric","Yes","Unit"
"SITE_1309","MTR_1","Electric","Yes","Whole house + shed"
"SITE_131","MTR_1","Electric","No","Whole house"
"SITE_1310","MTR_1","Electric","Yes","Whole property"
"SITE_1311","MTR_1","Electric","Yes","Whole house"
"SITE_1311","MTR_2","Gas","No","Whole house"
"SITE_1312","MTR_1","Gas","No","Whole house"
"SITE_1312","MTR_2","Electric","Yes","Whole house##"
"SITE_1313","MTR_1","Electric","Yes","House"
"SITE_1313","MTR_2","Gas","No","House"
"SITE_1314","MTR_1","Electric","Yes","Whole house"
"SITE_1315","MTR_1","Electric","Yes","Residence"
"SITE_1316","MTR_1","Electric","Yes","House and outbuilding"
"SITE_1317","MTR_1","Electric","No","Whole house"
"SITE_1317","MTR_2","Gas","No","Whole house"
"SITE_1318","MTR_1","Electric","Unknown","House"
"SITE_1319","MTR_1","Electric","Yes","House and outbuilding"
"SITE_132","MTR_1","Gas","No","Unknown"
"SITE_132","MTR_2","Electric","Yes","Unknown"
"SITE_1320","MTR_1","Gas","No","Whole house"
"SITE_1320","MTR_2","Electric","No","Whole house"
"SITE_1322","MTR_1","Electric","Yes","Whole house"
"SITE_1323","MTR_1","Electric","Yes","The whole house"
"SITE_1324","MTR_1","Electric","Yes","Unknown"
