"Building_ID","Type_of_Ceiling","Data_Collection_Type"
"BLDG_0115","Roof Deck","Full Survey"
"BLDG_0116","Roof Deck","Full Survey"
"BLDG_0117","Roof Deck","Full Survey"
"BLDG_0118","Roof Deck","Full Survey"
"BLDG_0119","Attic","Full Survey"
"BLDG_0120","Roof Deck","Partial/Remote Survey"
"BLDG_0121","Roof Deck","Full Survey"
"BLDG_0122","Roof Deck","Full Survey"
"BLDG_0123","Roof Deck","Partial/Remote Survey"
"BLDG_0124","Roof Deck","Full Survey"
"BLDG_0125","Roof Deck","Partial/Remote Survey"
"BLDG_0126","Attic","Full Survey"
"BLDG_0127","Attic","Full Survey"
"BLDG_0128","Adiabatic","Full Survey"
"BLDG_0129","Sloped / Vaulted (no attic)","Full Survey"
"BLDG_0130","Roof Deck","Full Survey"
"BLDG_0131","Attic","Full Survey"
"BLDG_0132","Attic","Full Survey"
"BLDG_0133","Attic","Full Survey"
"BLDG_0134","Attic","Full Survey"
"BLDG_0135","Attic","Full Survey"
"BLDG_0136","Attic","Full Survey"
"BLDG_0137","Attic","Partial/Remote Survey"
"BLDG_0138","Roof Deck","Full Survey"
"BLDG_0139","Attic","Full Survey"
"BLDG_0140","Attic","Full Survey"
"BLDG_0141","Roof Deck","Full Survey"
"BLDG_0142","Attic","Full Survey"
"BLDG_0143","Attic","Full Survey"
"BLDG_0144","Attic","Full Survey"
"BLDG_0145","Attic","Full Survey"
"BLDG_0146","Roof Deck","Full Survey"
"BLDG_0147","Roof Deck","Full Survey"
"BLDG_0148","Attic","Full Survey"
"BLDG_0149","Roof Deck","Partial/Remote Survey"
"BLDG_0150","Roof Deck","Full Survey"
"BLDG_0152","Roof Deck","Partial/Remote Survey"
"BLDG_0152","Attic","Partial/Remote Survey"
"BLDG_0153","Roof Deck","Full Survey"
"BLDG_0154","Attic","Full Survey"
"BLDG_0155","Attic","Full Survey"
"BLDG_0155","Roof Deck","Full Survey"
"BLDG_0156","Attic","Full Survey"
