SiteID,Mechanical_ID,System_Type,Ventilation_Controls
SITE_1321,MECH_38500,Small Capacity Exhaust,On/off
SITE_1322,MECH_153557,Recirculating Only,On/off
SITE_1326,MECH_5330,Recirculating Only,On/off
SITE_1327,MECH_5371,Small Capacity Exhaust,On/off
SITE_1328,MECH_154613,Recirculating Only,On/off
SITE_1329,MECH_104838,Unknown,On/off
SITE_133,MECH_148547,Small Capacity Exhaust,On/off
SITE_1330,MECH_159024,Unknown,On/off
SITE_1331,MECH_19180,Unknown,On/off
SITE_1332,MECH_38948,Small Capacity Exhaust,On/off
SITE_1332,MECH_86183,Small Capacity Exhaust,On/off
SITE_1333,MECH_145325,Small Capacity Exhaust,On/off
SITE_1334,MECH_105939,Small Capacity Exhaust,On/off
SITE_1335,MECH_127754,Small Capacity Exhaust,On/off
SITE_1336,MECH_155931,High Capacity Exhaust,On/off
SITE_1338,MECH_26884,Small Capacity Exhaust,On/off
SITE_1339,MECH_99384,High Capacity Exhaust,On/off
SITE_134,MECH_173227,Small Capacity Exhaust,On/off
SITE_1340,MECH_41966,Small Capacity Exhaust,On/off
SITE_1341,MECH_84663,Recirculating Only,On/off
SITE_1342,MECH_157291,Unknown,On/off
SITE_1343,MECH_141035,Recirculating Only,On/off
SITE_1344,MECH_54871,Small Capacity Exhaust,On/off
SITE_1345,MECH_71489,Small Capacity Exhaust,On/off
SITE_1346,MECH_91223,Recirculating Only,On/off
SITE_1347,MECH_11707,Recirculating Only,On/off
SITE_1347,MECH_11707,Unknown,On/off
SITE_1348,MECH_170821,Small Capacity Exhaust,On/off
SITE_1349,MECH_51216,High Capacity Exhaust,On/off
SITE_135,MECH_151870,Small Capacity Exhaust,On/off
SITE_135,MECH_66856,Small Capacity Exhaust,On/off
SITE_1350,MECH_67662,Small Capacity Exhaust,On/off
SITE_1351,MECH_23095,Small Capacity Exhaust,On/off
SITE_1352,MECH_100882,Small Capacity Exhaust,On/off
SITE_1353,MECH_91838,Small Capacity Exhaust,On/off
SITE_1354,MECH_56304,High Capacity Exhaust,On/off
SITE_1355,MECH_17875,Recirculating Only,On/off
SITE_1356,MECH_161662,Recirculating Only,On/off
SITE_1357,MECH_91540,Small Capacity Exhaust,On/off
SITE_1358,MECH_154125,Recirculating Only,On/off
SITE_1360,MECH_22846,Small Capacity Exhaust,On/off
SITE_1361,MECH_112492,Recirculating Only,On/off
SITE_1365,MECH_74259,Recirculating Only,On/off
SITE_1366,MECH_85163,Small Capacity Exhaust,On/off
SITE_1368,MECH_54367,Recirculating Only,Manual thermostat - Analog
SITE_1369,MECH_55576,Recirculating Only,On/off
