"SiteID","RoomID","ApplianceID","Type","Type_Other","Make","Model","Vintage","Energy_Star","Room_Type"
"SITE_1795","ROOM_42599","APPL_4953","Garage door opener","Garage door opener","Unknown","Unknown","Unknown","Unknown","Garage"
"SITE_1795","ROOM_42599","APPL_27382","Garage door opener","Garage door opener","Unknown","Unknown","Unknown","Unknown","Garage"
"SITE_180","ROOM_16526","APPL_30283","Garage door opener","Garage door","Chamberlain","FORMULA I","2010","No","Garage"
"SITE_1807","ROOM_45239","APPL_52604","Chicken heat lamp",NA,"Unknown","Unknown","Unknown","No","Living Room"
"SITE_1809","ROOM_42331","APPL_159186","Exercise Equipment","Peloton","Peloton","Unknown","2020","Unknown","Bedroom"
"SITE_1819","ROOM_46446","APPL_128314","Other","RV plug hook up.","Unknown","Unknown","Unknown","Unknown","Outside"
"SITE_1821","ROOM_4144","APPL_146481","Water Circulator Pump",NA,"Amtrol","THERM X TROL","Unknown","No","Mechanical"
"SITE_1821","ROOM_22279","APPL_7696","Sauna",NA,"Sears","41484403N","Unknown","No","Other"
"SITE_1825","ROOM_33847","APPL_83885","Other","Radon fan","Unknown","Unknown","Unknown","Unknown","Garage"
"SITE_1840","ROOM_34479","APPL_107675","Whole House Vacuum","Central vac","Vacuflo","466Q","Unknown","No","Garage"
"SITE_1844","ROOM_31620","APPL_50170","Welder (electric)",NA,"Titanium","#0920371471761","Unknown","No","Outbuilding / Addition"
"SITE_1870","ROOM_14523","APPL_97785","Exercise Equipment","Workout gear","Treadmill","PFTL131134","Unknown","No","Living Room"
"SITE_1870","ROOM_3456","APPL_29423","Water feature",NA,"Viva","Unknown","Unknown","Yes","Dining Room"
"SITE_1878","ROOM_19277","APPL_163875","Hot Tub",NA,"HotSpring","Unknown","Unknown","No","Outside"
"SITE_189","ROOM_42573","APPL_133617","Garage door opener","Garage door","PDS","#800","Unknown","Unknown","Garage"
"SITE_189","ROOM_42573","APPL_79216","Garage door opener","Garage door","PDS","#800","Unknown","Unknown","Garage"
"SITE_189","ROOM_19930","APPL_174160","Exercise Equipment","Rowing machine","NordicTrack","ROWER","Unknown","Unknown","Bedroom"
"SITE_1890","ROOM_41378","APPL_36465","Other","Floor heat","Whirlpool","E1F50RD045V","Unknown","No","Mechanical"
"SITE_1891","ROOM_34107","APPL_86437","Hot Tub",NA,"Arctic Spas","SUMMIT LSC","Unknown","No","Outside"
"SITE_1895","ROOM_38473","APPL_104432","Other","Juke box","Unknown","Unknown","Unknown","No","Other"
"SITE_1902","ROOM_17215","APPL_18168","Hot Tub",NA,"HotSpring","Unknown","Unknown","No","Outside"
"SITE_191","ROOM_34513","APPL_23888","Other","Elevator","Unknown","Unknown","Unknown","No","Hallway"
"SITE_1921","ROOM_31992","APPL_37359","Sauna",NA,"Unknown","Unknown","Unknown","Unknown","Bedroom"
"SITE_193","ROOM_45819","APPL_83656","Sauna",NA,"Therapure","Unknown","Unknown","Unknown","Hallway"
"SITE_1937","ROOM_27352","APPL_58502","Hot Tub",NA,"Unknown","Unknown","Unknown","Unknown","Outside"
"SITE_194","ROOM_3784","APPL_162354","Garage door opener","Garage door","Sears","CRAFTSMAN","Unknown","Unknown","Garage"
"SITE_1942","ROOM_26323","APPL_129188","Other","server","Unknown","Unknown","Unknown","No","Crawlspace"
"SITE_1955","ROOM_274","APPL_44196","Water feature",NA,"Unknown","Unknown","Unknown","Unknown","Outside"
"SITE_1955","ROOM_274","APPL_102685","Water feature",NA,"Unknown","Unknown","Unknown","Unknown","Outside"
"SITE_1974","ROOM_46694","APPL_161237","Hot Tub",NA,"HotSpring","Unknown","Unknown","No","Outside"
"SITE_198","ROOM_37580","APPL_149329","Garage door opener","Garage door opener","Genie","1024 PRO","2011","No","Garage"
"SITE_1981","ROOM_41449","APPL_139805","Whole House Vacuum","Built in central cleaning system","NuTone","VX475","Unknown","Unknown","Hallway"
"SITE_1991","ROOM_38067","APPL_17774","Exercise Equipment","Treadmill","Pro-Form","Unknown","Unknown","No","Office"
"SITE_1996","ROOM_36080","APPL_159968","Sauna",NA,"Sauntec","1712-45-17","Unknown","Unknown","Bathroom"
"SITE_2016","ROOM_16991","APPL_142792","Water Circulator Pump",NA,"Unknown","Unknown","Unknown","Unknown","Garage"
"SITE_202","ROOM_26211","APPL_72521","Whole House Vacuum","Central Cleaning System","Broan","CV30-D","Unknown","Unknown","Garage"
"SITE_202","ROOM_26211","APPL_59934","Garage door opener","Garage door opener","Genie","CM8600IC/A","Unknown","Unknown","Garage"
"SITE_202","ROOM_26211","APPL_61749","Garage door opener","Garage door opener","Genie","CM8600IC/A","Unknown","Unknown","Garage"
"SITE_202","ROOM_26211","APPL_26261","Garage door opener","Garage door opener","Genie","CM8600IC/A","Unknown","Unknown","Garage"
"SITE_2032","ROOM_16862","APPL_86061","Other","Fish tank","Unknown","Unknown","Unknown","Unknown","Living Room"
"SITE_205","ROOM_33516","APPL_79036","Garage door opener","Garage door opener","Genie","PRO MAX","Unknown","Unknown","Garage"
"SITE_207","ROOM_44628","APPL_45541","Exercise Equipment","Treadmill","Reebok","RBTL699082","Unknown","Unknown","Bedroom"
