"SiteID","System_Type","Evidence_of_Duct_Sealing","Duct_Sealing_Material","Duct_Sealing_Material_Other","Cavity_Used_for_Air_Transport","Duct_Location_Supply","Duct_Location_Return","Percentage_of_Supply_Ducts_in_Conditioned_Space","Percentage_of_Return_Ducts_in_Conditioned_Space","Percentage_of_Supply_Ducts_in_Unconditioned_and_Inaccessible_Sp","Percentage_Ducts_In_Good_Condition","Crossover_Present","Crossover_Condition","Flex_Run_Insulation_Type","Insulation_Present","Insulation_Type","Insulation_Thickness","Insulation_Condition","Ductboard_P_Thickness"
"SITE_1058","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"Unknown","In Walls and Ceilings, Crawlspace / Basement, Attic","In Walls and Ceilings, Crawlspace / Basement, Attic","75","75","0","90","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA
"SITE_1059","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement","25","Unknown","75","Unknown","No","Unknown","Unknown","Yes","Unknown","Unknown","100",NA
"SITE_106","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement","Attic","0","25","100","90","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_1061","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Garage, Attic, In Walls and Ceilings","0","25","0","100","No","Unknown","R8","Yes","Foil-faced fiberglass","2","50",NA
"SITE_1062","All Metal","No",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings","50","75","50","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1063","All Metal","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings, Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","Unknown","Unknown","90","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1064","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","50","75","50","90","No","Unknown",NA,"Yes","Fiberglass batts","4","Unknown",NA
"SITE_1068","All Metal","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement","Crawlspace / Basement","75","100","25","75","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1069","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Attic","25","0","0","100","No","Unknown","R8","Yes","Foil-faced fiberglass","2","90",NA
"SITE_107","All Metal","No",NA,NA,"No","Garage, In Walls and Ceilings, Attic","Crawlspace / Basement, Garage","50","0","0","Unknown","No","Unknown",NA,"Yes","Fiberglass batts","1","75",NA
"SITE_1070","All Metal","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
