"SiteID","RoomID","ApplianceID","Make","Model","Vintage","Energy_Star","Audio_Wifi_Enabled","Audio_Voice_Assistant","Audio_Connected_to_TV","Contains_Subwoofer","Does_Subwoofer_have_indicator_light_or_warm_to_touch"
"SITE_1562","ROOM_5642","APPL_79920","Samsung","HW-J450","Unknown","No","Unknown","No","No","Yes","No"
"SITE_1565","ROOM_44983","APPL_68920","Polk Audio","DSB1","Unknown","Yes","Unknown","No","Yes","No",NA
"SITE_1568","ROOM_11475","APPL_159502","ONN","#100024201","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_157","ROOM_1285","APPL_156421","Unknown","SEIKI","Unknown","No","Unknown","No","Yes","No",NA
"SITE_1571","ROOM_28790","APPL_130793","Bose","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1579","ROOM_34458","APPL_116156","Amazon","Unknown","Unknown","Unknown","Yes","Yes","Unknown","No",NA
"SITE_1580","ROOM_36744","APPL_109163","Yamaha","Unknown","Unknown","No","No","No","No","No",NA
"SITE_1594","ROOM_16677","APPL_19740","Amazon","ECHO DOT","Unknown","No","Yes","Yes","No","No",NA
"SITE_1594","ROOM_16677","APPL_126219","Samsung","Unknown","Unknown","No","No","No","Yes","Yes","Yes"
"SITE_1597","ROOM_42161","APPL_131689","TV Ears","Unknown","Unknown","Unknown","No","No","Yes","No",NA
"SITE_1598","ROOM_40883","APPL_123833","Polk Audio","MAGNIFI MINI SOUND BAR","Unknown","Yes","No","No","Yes","Unknown","Unknown"
"SITE_1598","ROOM_12937","APPL_50976","Sony","SA-SD35","Unknown","No","No","No","Yes","No",NA
"SITE_160","ROOM_35702","APPL_43249","Amazon","ECHO DOT","2019","Unknown","Yes","Yes","Yes","No",NA
"SITE_1600","ROOM_19286","APPL_100167","Amazon","C78MP8","Unknown","Unknown","Yes","Yes","Unknown","No",NA
"SITE_1600","ROOM_15441","APPL_28633","Amazon","Unknown","Unknown","No","Yes","Yes","Unknown","No",NA
"SITE_1600","ROOM_18086","APPL_21484","Amazon","Unknown","Unknown","Unknown","Yes","Yes","No","No",NA
"SITE_1600","ROOM_10257","APPL_117729","Amazon","Unknown","Unknown","No","Yes","Yes","No","No",NA
"SITE_1600","ROOM_34655","APPL_120824","Amazon","Unknown","Unknown","No","Yes","Yes","Unknown","No",NA
"SITE_1608","ROOM_21439","APPL_61573","Amazon","ECHO DOT","Unknown","No","Yes","Yes","No","No",NA
"SITE_1608","ROOM_29123","APPL_114764","Polk Audio","Unknown","Unknown","No","Unknown","No","Yes","Yes","Yes"
"SITE_1608","ROOM_1008","APPL_142910","Amazon","ECHO DOT","Unknown","No","Yes","Yes","No","No",NA
"SITE_1608","ROOM_2657","APPL_61369","Amazon","ECHO","Unknown","No","Yes","Yes","No","No",NA
