"SiteID","Mechanical_ID","Ventilation_Grade","Ventilation_Working","Ventilation_Controls","Ventilation_Use"
"SITE_1094","MECH_114863","Builder Grade","Yes","On/off","0.01"
"SITE_1095","MECH_135320","Builder Grade","Yes","On/off","0"
"SITE_1095","MECH_99236","Builder Grade","Yes","On/off","0.33"
"SITE_1095","MECH_44631","Builder Grade","Yes","Timer","1"
"SITE_1095","MECH_152243","Builder Grade","Yes","On/off","0.5"
"SITE_1096","MECH_91128","Builder Grade","Yes","On/off","0"
"SITE_1097","MECH_132539","Builder Grade","Yes","On/off","0.5"
"SITE_1097","MECH_30237","Builder Grade","Yes","On/off","0.05"
"SITE_1097","MECH_115246","Builder Grade","Unknown","On/off","0"
"SITE_1098","MECH_29236","Builder Grade","Yes","Timer","2"
"SITE_1099","MECH_65382","Builder Grade","Yes","On/off","0"
"SITE_1099","MECH_147962","Builder Grade","Yes","On/off","0"
"SITE_1099","MECH_75670","Builder Grade","Yes","On/off","0.3"
"SITE_1099","MECH_105384","Builder Grade","Yes","On/off","0"
"SITE_11","MECH_144221","Builder Grade","Yes","On/off","1"
"SITE_11","MECH_31023","Builder Grade","Yes","On/off","1"
"SITE_110","MECH_161573","Builder Grade","Yes","On/off","0.5"
"SITE_1100","MECH_64483","Builder Grade","Yes","On/off","0.2"
"SITE_1100","MECH_120078","Builder Grade","Yes","On/off","Unknown"
"SITE_1101","MECH_25715","Builder Grade","Yes","On/off","0.5"
"SITE_1101","MECH_149468","Builder Grade","Yes","On/off","0.5"
"SITE_1102","MECH_104842","Builder Grade","Yes","On/off","0.1"
"SITE_1103","MECH_9716","Builder Grade","Yes","On/off","1"
"SITE_1103","MECH_104517","Builder Grade","Yes","On/off","1.5"
"SITE_1104","MECH_98343","Builder Grade","Yes","On/off","1"
"SITE_1104","MECH_98343","Builder Grade","Yes","On/off","1"
"SITE_1104","MECH_165168","Builder Grade","Yes","On/off","0.25"
"SITE_1105","MECH_148125","Builder Grade","Yes","On/off","0.5"
"SITE_1105","MECH_111838","Builder Grade","Yes","On/off","0.08"
"SITE_1105","MECH_8516","Builder Grade","Yes","On/off","0.33"
"SITE_1105","MECH_91222","Builder Grade","Yes","On/off","0"
"SITE_1106","MECH_127592","Builder Grade","Yes","Timer","3"
"SITE_1106","MECH_14589","Builder Grade","Yes","Timer","3"
"SITE_1106","MECH_170702","Builder Grade","Yes","Timer","3"
"SITE_1106","MECH_91440","Builder Grade","Yes","Timer","0"
"SITE_1107","MECH_45912","Builder Grade","Yes","On/off","1"
"SITE_1107","MECH_50006","Builder Grade","Yes","On/off","1"
"SITE_1108","MECH_124360","Unknown","No","Timer","0"
"SITE_1109","MECH_38812","Builder Grade","Yes","Timer","3"
"SITE_1109","MECH_54856","Unknown","Yes","On/off","1"
"SITE_111","MECH_76669","Builder Grade","Yes","On/off","0.5"
"SITE_111","MECH_135016","Builder Grade","Yes","On/off","1"
"SITE_1110","MECH_112681","Builder Grade","Yes","On/off","0.1"
"SITE_1110","MECH_97740","Builder Grade","Yes","On/off","0.1"
"SITE_1111","MECH_159816","Builder Grade","Yes","On/off","0"
"SITE_1111","MECH_155181","Builder Grade","Yes","On/off","0"
"SITE_1111","MECH_155181","Builder Grade","Yes","On/off","0"
"SITE_1111","MECH_42481","Builder Grade","Yes","On/off","0"
"SITE_1112","MECH_104650","Builder Grade","Yes","Timer","0.5"
"SITE_1112","MECH_68499","Builder Grade","Yes","Timer","0.25"
"SITE_1113","MECH_72192","Builder Grade","Yes","On/off","1"
"SITE_1114","MECH_21582","Builder Grade","Yes","On/off","0"
"SITE_1114","MECH_156711","Builder Grade","Yes","On/off","0.5"
"SITE_1114","MECH_134817","Builder Grade","Yes","On/off","1"
"SITE_1115","MECH_109349","Builder Grade","Yes","On/off","0.2"
"SITE_1115","MECH_49888","Builder Grade","Yes","On/off","0.2"
"SITE_1115","MECH_114892","Builder Grade","Yes","On/off","0.5"
"SITE_1115","MECH_134764","Builder Grade","Yes","On/off","0.1"
"SITE_1115","MECH_129153","Builder Grade","Yes","On/off","0.1"
"SITE_1116","MECH_140199","Panasonic or equivalent","Yes","Timer","1"
"SITE_1116","MECH_59695","Builder Grade","Yes","On/off","1"
"SITE_1116","MECH_24479","Builder Grade","Yes","On/off","Unknown"
"SITE_1117","MECH_120595","Builder Grade","Unknown","Timer","0"
"SITE_1117","MECH_77988","Builder Grade","Yes","On/off","0.33"
"SITE_1117","MECH_59657","Builder Grade","Yes","On/off","0.08"
"SITE_1118","MECH_37658","Builder Grade","Yes","On/off","0.14"
"SITE_1118","MECH_30923","Builder Grade","Yes","On/off","0"
"SITE_1118","MECH_51459","Builder Grade","Yes","On/off","0"
"SITE_1119","MECH_39097","Panasonic or equivalent","Yes","On/off","0.13"
"SITE_1120","MECH_50051","Builder Grade","Yes","On/off","0.16"
"SITE_1120","MECH_148912","Builder Grade","Yes","On/off","0.5"
"SITE_1121","MECH_120992","Builder Grade","Yes","On/off","2"
"SITE_1122","MECH_18380","Builder Grade","Yes","On/off","1"
"SITE_1122","MECH_42742","Builder Grade","Yes","On/off","0"
"SITE_1122","MECH_76399","Builder Grade","Yes","On/off","0"
"SITE_1123","MECH_85484","Panasonic or equivalent","Yes","Timer","0.5"
"SITE_1123","MECH_100510","Panasonic or equivalent","Yes","Timer","Unknown"
"SITE_1123","MECH_35187","Panasonic or equivalent","Yes","Timer","Unknown"
"SITE_1125","MECH_14010","Builder Grade","Yes","On/off","0.3"
"SITE_1125","MECH_13375","Builder Grade","Yes","On/off","1.5"
"SITE_1125","MECH_9816","Builder Grade","Yes","On/off","1.25"
"SITE_1126","MECH_8699","Panasonic or equivalent","Yes","On/off","1"
"SITE_1126","MECH_88771","Builder Grade","Yes","On/off","0"
"SITE_1126","MECH_141906","Builder Grade","Yes","On/off","0"
"SITE_1126","MECH_154702","Builder Grade","Yes","On/off","0.08"
"SITE_1127","MECH_78323","Builder Grade","Yes","Timer","0.25"
"SITE_1127","MECH_107473","Builder Grade","Yes","Timer","0"
"SITE_1128","MECH_126917","Builder Grade","Yes","On/off","0"
"SITE_1128","MECH_27545","Builder Grade","Yes","On/off","0"
"SITE_1128","MECH_45900","Builder Grade","Yes","On/off","0"
"SITE_1129","MECH_116894","Builder Grade","Yes","On/off","0.25"
"SITE_1129","MECH_41240","Builder Grade","Yes","On/off","0.5"
"SITE_113","MECH_94971","Builder Grade","Yes","Timer","1"
