"SiteID","Floor_Type","Floor_Area","Is_Space_Conditioned","Floor_Area_Is_Estimated","Perimeter","Perimeter_Is_Estimated","Type_of_Area_Below","Area_Below_Heated","Framing_Type","Framing_Size","Framing_Spacing","Framing_Spacing_Other","Crawlspace_Vents_Present","Crawlspace_Vents_Blocked","Basement_Percent_Below_Grade","Central_Heating_Equipment_in_Basement","Ducting_in_Basement","Slab_Heated","Slab_Insulated","Slab_Insulation_Position","Slab_Insulation_Type","Slab_Insulation_Thickness","Slab_Insulation_Condition","Slab_Insulation_Source","Slab_Insulation_Source_Other","Floor_Insulated","Floor_Insulation_Type","Floor_Insulation_Thickness","Floor_Insulation_Condition","Crawlspace_Walls_Insulated","Crawlspace_Wall_Insulation_Type","Crawlspace_Wall_Insulation_Condition","Crawlspace_Wall_Insulation_Thickness","Crawlspace_Wall_Insulation_Source","Crawlspace_Wall_Insulation_Source_Other","Crawlspace_Wall_Exteriors_Insulated","Crawlspace_Wall_Exterior_Insulation_Type","Crawlspace_Wall_Exterior_Insulation_Thickness","Crawlspace_Wall_Exterior_Insulation_Condition","Crawlspace_Wall_Exterior_Insulation_Source","Crawlspace_Wall_Exterior_Insulation_Source_Other","Basement_Floor_Above_Insulated","Basement_Floor_Above_Insulation_Type","Basement_Floor_Above_Insulation_Thickness","Basement_Floor_Above_Insulation_Condition","Floor_Above_Insulation_Source","Floor_Above_Insulation_Source_Other","Basement_Floor_Above_Insulation_Source","Basement_Floor_Above_Insulation_Source_Other","Floor_Insulation_U-Value","Floor_Insulation_R-Value","Floor_U-Value_for_Heat_Loss","Slab_F-Value_for_Heat_Loss","Floor_Heat_Loss_Rate_UA"
"SITE_1018","Basement","750","Yes","Measured or Known","110","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"70","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"0.141579419710467",NA,"0","0.73","58.3"
"SITE_1019","Slab","696.5",NA,"Measured or Known","126.5","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","92.345"
"SITE_1019","Basement","983.5","Yes","Measured or Known","166.5","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"85","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","9","1",NA,NA,"Other","Insulation report","0.0325839035516455","30.69","0","0.73","76.59"
"SITE_102","Crawlspace","1500","No","Measured or Known","180","Estimated",NA,NA,"Post and Beam","2x6 or 4x6","12 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","6","1","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0472056536206935","20.46","0.0472056536206935",NA,"70.8084804310403"
"SITE_1020","Basement","1643","Yes","Measured or Known","168","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"50","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","89.04"
"SITE_1021","Slab","1110",NA,"Measured or Known","160","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","116.8"
"SITE_1022","Slab","1129",NA,"Measured or Known","151","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","110.23"
"SITE_1022","Crawlspace","1874","No","Measured or Known","203","Measured or Known",NA,NA,"Post and Beam","2x10 or 4x10","24 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","9","1","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.033644976832106","30.69","0.033644976832106",NA,"63.0506865833666"
"SITE_1023","Floor over other - Frame","928",NA,"Measured or Known",NA,NA,"Garage","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1023","Basement","841","Yes","Measured or Known","116","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"40","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","61.48"
