"SiteID","RoomID","ApplianceID","TV_Screen_Type","TV_Screen_Type_Other","Make","Make_Other","Model","Vintage","Energy_Star","Primary","TV_Screen_Surface","TV_Resolution","Size","Size_Is_Estimated","Wattage","Wattage_Is_Estimated","TV_Wifi","TV_Qty_of_Streaming_Devices","TV_Qty_of_External_Media_Devices","STB_Present","DVR_Present","Room_Type"
"SITE_196","ROOM_38258","APPL_89131","LCD – LED",NA,"Samsung",NA,"Unknown","Unknown","No","Used less","Flat","FHD (1080p)","55","Estimated","Unknown","Unknown","No","1","2","No","No","Bedroom"
"SITE_196","ROOM_885","APPL_60303","LCD – LED",NA,"Samsung",NA,"Unknown","Unknown","No","Secondary","Flat","FHD (1080p)","32","Measured or Known","Unknown","Unknown","Yes","0","0","No","No","Bedroom"
"SITE_1967","ROOM_17836","APPL_131210","LCD – LED",NA,"LG",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","50","Estimated","Unknown","Unknown","Unknown","0","0","Yes","No","Living Room"
"SITE_1967","ROOM_11749","APPL_106052","LCD – LED",NA,"Other","Kenmore","#34871360610","Unknown","No","Primary","Flat","High Definition (720p)","32","Measured or Known","55","Measured or Known","No","0","0","Yes","No","Bedroom"
"SITE_1968","ROOM_3351","APPL_55683","LCD – LED",NA,"LG",NA,"65UJ6540","2017","Unknown","Primary","Flat","UHD (4080p) – 4K","65","Measured or Known","Unknown","Measured or Known","Yes","0","0","No","No","Living Room"
"SITE_1968","ROOM_12690","APPL_157723","LCD – Fluorescent",NA,"Vizio",NA,"M470VT","2010","Unknown","Secondary","Flat","FHD (1080p)","47","Measured or Known","162","Measured or Known","No","0","0","No","No","Living Room"
"SITE_197","ROOM_35647","APPL_148404","LCD – LED",NA,"Vizio",NA,"D55U-D1","Unknown","Yes","Primary","Flat","UHD (4080p) – 4K","52","Measured or Known","Unknown","Unknown","Unknown","0","2","No","No","Living Room"
"SITE_197","ROOM_36316","APPL_80041","Unknown",NA,"Sansui",NA,"Unknown","Unknown","No","Secondary","Flat","Unknown","38","Estimated","Unknown","Unknown","Unknown","0","0","No","No","Bedroom"
"SITE_1970","ROOM_35444","APPL_133882","LCD – LED",NA,"Element",NA,"ELFW4017","2017","No","Primary","Flat","High Definition (720p)","40","Measured or Known","80","Measured or Known","Unknown","0","0","Yes","No","Living Room"
"SITE_1972","ROOM_21559","APPL_27756","LCD – LED",NA,"Vizio",NA,"D24HN-D1","Unknown","No","Secondary","Flat","High Definition (720p)","24","Measured or Known","Unknown","Unknown","No","0","0","No","No","Bedroom"
"SITE_1972","ROOM_31622","APPL_76247","LCD – LED",NA,"Unknown",NA,"E320VL","Unknown","Yes","Primary","Flat","High Definition (720p)","32","Measured or Known","Unknown","Unknown","No","1","0","No","No","Living Room"
"SITE_1973","ROOM_26179","APPL_149737","LCD – LED",NA,"Samsung",NA,"UN65RU7300FXZA","2020","Unknown","Primary","Curved","UHD (4080p) – 4K","65","Measured or Known","75","Measured or Known","Yes","1","Unknown","No","No","Family Room"
"SITE_1974","ROOM_41543","APPL_7432","LCD – LED",NA,"TCL",NA,"65S405TDAA","2017","No","Used less","Flat","FHD (1080p)","65","Measured or Known","205","Estimated","Unknown","0","1","No","No","Family Room"
"SITE_1974","ROOM_11061","APPL_10651","LCD – LED",NA,"Other","Amazon Fire TV","K24NE5(B08SVZ775L)","Unknown","No","Used less","Flat","FHD (1080p)","50","Measured or Known","125","Measured or Known","Yes","0","0","No","No","Bedroom"
