"SiteID","Performed_Conservation_Measures_on_Their_Own_in_Last_2_Years","Participated_in_Utility_Conservation_Program_in_Last_2_Years","Received_Tax_Credit_for_Conservation","Federal_Tax_Credit","State_Tax_Credit","Other_Tax_Credit","Conservation_Air_Sealing","Conservation_Energy_Audit","Conservation_Cooling_Equipment","Conservation_Door_Replacement","Conservation_Heating_Equipment","Conservation_Lighting","Conservation_Major_Appliance","Conservation_Major_Appliance_Type","Conservation_Replacement_Windows","Conservation_Showerhead","Conservation_Water_Heating","Conservation_Weatherization","Conservation_Ceiling_Insulation","Conservation_Duct_Insulation","Conservation_Duct_Sealing","Conservation_Floor_Insulation","Conservation_Wall_Insulation"
"SITE_349","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","Dishwasher, Refrigerator / Freezer, Stove / Oven","Yes","No","Yes","No","No","No","No","No","Yes"
"SITE_35","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_350","Yes","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No",NA,"Yes","No","No","No","No","No","No","Yes","No"
"SITE_351","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_352","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_353","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_354","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_355","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_356","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_357","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_358","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_359","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_36","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Unknown","No","No","Yes","No","Yes","No","No","No","No"
"SITE_360","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","Yes"
"SITE_362","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_364","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_365","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","Yes","Refrigerator / Freezer","No","No","No","No","No","No","No","No","No"
"SITE_366","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_367","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_368","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_369","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Clothes Washer, Dryer","Yes","No","No","No","No","No","No","No","No"
"SITE_37","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_370","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"Yes","No","Yes","No","No","No","No","No","No"
"SITE_371","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_372","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_373","Yes","No","Yes","Yes","No","No","No","No","Yes","No","Yes","No","Yes","Stove / Oven","No","No","No","No","No","No","No","No","No"
"SITE_374","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_375","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_376","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_377","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_378","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_379","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_38","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_380","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_381","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_382","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_383","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","No","No","No","No","No"
