"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Vintage","Model","Energy_Star","Primary_Computer","Computer_Wifi","Internet_Access","Computer_Number_of_Screens","Computer_Primary_External_Monitor","Primary_Monitor_Size","Primary_Monitor_Size_Is_Estimated","Primary_Monitor_Type","Secondary_Monitor_External","Secondary_Monitor_Size","Secondary_Monitor_Size_Is_Estimated","Secondary_Monitor_Type","Third_Monitor_Size","Third_Monitor_Size_Is_Estimated","Computer_Printer","Computer_External_Drive","Computer_Number_of_Modems_Routers_Switches","Computer_Number_of_Other_Accessories","Computer_Other_Accessory_Description","Computer_In_single_strip","Computer_Uninterruptible_Power","Uninterruptible_Power_Size_kW","Room_Type","Computer_Hours_of_Use","Computer_Is_Left_On"
"SITE_1410","ROOM_27741","APPL_143099","Laptop","Apple",NA,"Unknown","MACBOOK AIR","Unknown","Yes","Yes","Yes","1","No","12","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Yes","No","1","0",NA,"No","No","Unknown","Family Room","5","Yes"
"SITE_1411","ROOM_41207","APPL_110963","Desktop","Dell",NA,"Unknown","XPS","No","Yes","No","Yes","2","Yes","30","Measured or Known","Unknown","Yes","24","Measured or Known","Unknown",NA,NA,"Yes","Yes","1","3","Mouse, keyboard, speaker","Yes","No","Unknown","Bedroom","11","Yes"
"SITE_1411","ROOM_5628","APPL_71592","Integrated","HP",NA,"Unknown","Unknown","No","No","Unknown","Unknown","1","No","20","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Yes","No","1","2","Mouse, keyboard","Yes","No","Unknown","Bedroom","0","No"
"SITE_1412","ROOM_24101","APPL_57760","Laptop","Acer",NA,"Unknown","N15Q9","No","Yes","Yes","Yes","1","No","16","Measured or Known","LCD – Fluorescent",NA,NA,NA,NA,NA,NA,"Yes","No","1","0",NA,"No","No","Unknown","Family Room","2","No"
"SITE_1413","ROOM_38695","APPL_64868","Laptop","HP",NA,"Unknown","Unknown","Unknown","Yes","Yes","Yes","1","No","Unknown","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","1","Unknown","Unknown","Yes","No","Unknown","Office","1","Yes"
"SITE_1414","ROOM_46708","APPL_135664","Laptop","HP",NA,"Unknown","Unknown","Unknown","Yes","Yes","Yes","1","No","16","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"No","No","1","0",NA,"No","No","Unknown","Other","2","Yes"
"SITE_1414","ROOM_34452","APPL_138179","Laptop","Dell",NA,"Unknown","INSPIRON N5010 P10F","No","No","Yes","Yes","1","No","16","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Yes","No","1","1","Mouse","No","No","Unknown","Bedroom","0","No"
"SITE_1415","ROOM_6374","APPL_56032","Laptop","ASUS",NA,"Unknown","GL753V","No","Yes","Yes","Yes","1","No","Unknown","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","1","0",NA,"Yes","No","Unknown","Living Room","5","No"
"SITE_1416","ROOM_39785","APPL_119122","Desktop","LG",NA,"Unknown","Unknown","Unknown","Yes","Yes","Yes","1","Yes","21","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Yes","No","1","4","Mouse,  keyboard,  speakers,  webcam","Yes","No","Unknown","Office","2","No"
"SITE_1417","ROOM_25295","APPL_54713","Laptop","HP",NA,"Unknown","Unknown","No","Yes","Yes","Yes","1","No","15","Estimated","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","0","0",NA,"No","No","Unknown","Living Room","4","No"
"SITE_1418","ROOM_46161","APPL_1266","Laptop","HP",NA,"Unknown","15-DA0033WM","No","Yes","Yes","Yes","1","No","15","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"No","No","0","0",NA,"Yes","No","Unknown","Living Room","3","No"
"SITE_1418","ROOM_17800","APPL_26742","Desktop","Compaq",NA,"Unknown","PRESARIO 5000","No","No","Unknown","Unknown","1","Yes","14","Measured or Known","CRT/Tube",NA,NA,NA,NA,NA,NA,"Yes","No","0","2","Mouse,  keyboard","Yes","No","Unknown","Bedroom","0","No"
"SITE_1419","ROOM_17807","APPL_14894","Laptop","ASUS",NA,"Unknown","Unknown","No","Yes","Yes","Yes","1","No","14","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","1","0",NA,"No","No","Unknown","Living Room","3","No"
"SITE_142","ROOM_42889","APPL_152336","Laptop","Apple",NA,"Unknown","A2159","No","Yes","Yes","Yes","1","No","13","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","0","0",NA,"Unknown","No","Unknown","Living Room","1","No"
"SITE_142","ROOM_42889","APPL_143072","Laptop","Apple",NA,"Unknown","A1398","No","No","Yes","Yes","1","No","16","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","0","0",NA,"Unknown","No","Unknown","Living Room","0","Yes"
"SITE_142","ROOM_1376","APPL_48549","Laptop","Apple",NA,"Unknown","Unknown","Unknown","No","Yes","Yes","1","No","22","Estimated","LCD – LED",NA,NA,NA,NA,NA,NA,"No","Unknown","1","2","Mouse,  keyboard","No","No","Unknown","Basement","1","Yes"
"SITE_1420","ROOM_31615","APPL_98610","Laptop","Lenovo",NA,"Unknown","IDEAPAD 5 15ITL05","No","Yes","Yes","Yes","1","No","16","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Yes","No","1","0",NA,"No","No","Unknown","Office","3","No"
"SITE_1421","ROOM_35852","APPL_44760","Desktop","Dell",NA,"2018","Unknown","Unknown","No","Yes","Yes","1","Yes","55","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"No","No","1","2","Mouse,  keyboard","Yes","No","Unknown","Office","3","No"
"SITE_1421","ROOM_35852","APPL_129654","Laptop","Apple",NA,"Unknown","Unknown","No","Yes","Yes","Yes","3","Yes","25","Estimated","LCD – LED","Yes","25","Estimated","LCD – LED","13","Estimated","No","No","1","2","Mouse,  keyboard","Yes","No","Unknown","Office","8","No"
