"SiteID","Primary_Home","Move_In_Year","Business_Operated_Out_of_the_Home","Any_Occupants_Moved_In_within_Last_Year","Any_Occupant_Moved_Out_within_Last_Year","Planning_to_Move_Within_Six_Months","Qty_Occupants_Less_than_1_Year","Qty_Occupants_Between_1_and_5_Years","Qty_Occupants_Between_6_and_10_Years","Qty_Occupants_Between_11_and_18_Years","Qty_Occupants_Between_19_and_45_Years","Qty_Occupants_Between_46_and_64_Years","Qty_Occupants_65_Years_or_Older","Qty_Occupants_Work_Outside_the_Home","Qty_Occupants","Qty_Adults","Do_you_own_or_rent_your_home","Who_pays_the_electric_bill","Who_pays_the_gas_bill","Qty_Occupants_Moved_Out_Past_Year","Qty_Occupants_Moved_In_Past_Year","Home_Usage_Type","Household_Education_Level","Household_Education_Level_Other","Household_Income","Race_Ethnicity"
"SITE_320","Primary","2004","No","No","No","No","0","0","0","0","1","1","0","1","2","2","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$200,000 and over","White or Caucasian"
"SITE_321","Primary","2009","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"Less than $15,000 per year","White or Caucasian"
"SITE_322","Primary","2016","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$35,000 to less than $49,999","White or Caucasian"
"SITE_323","Primary","1990","No","No","No","No","0","0","0","0","0","1","2","1","3","3","Own","Occupant","Unknown",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_324","Primary","2016","No","No","No","No","0","0","0","1","1","1","0","2","3","2","Own","Occupant","Occupant",NA,NA,NA,"Doctorate Degree (e.g., PhD, EdD)",NA,"$150,000 to less than $199,999","White or Caucasian"
"SITE_325","Primary","1990","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Rent","Occupant","Unknown",NA,NA,NA,"Refused",NA,"Refused","Black or African American"
"SITE_326","Primary","1978","Yes","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Unknown",NA,NA,NA,"Doctorate Degree (e.g., PhD, EdD)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_327","Primary","1973","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_328","Primary","2017","No","No","No","No","0","0","0","0","1","1","0","1","2","2","Rent","Occupant","Unknown",NA,NA,NA,"Associate’s Degree, occupational (e.g., AAS, AAA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_329","Primary","2015","No","No","No","No","0","0","0","0","0","1","0","0","1","1","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$15,000 to less than $24,999","White or Caucasian"
