"SiteID","RoomID","ApplianceID","Make","Make_Other","Model","Vintage","Serial","WiFi_Capable","Motor_Power","Motor_Power_Units","Disposal_Missing_Model_Reason","Disposal_Missing_Model_Reason_Other"
"SITE_1138","ROOM_2630","APPL_61562","Other","Ace Hardware","2000-3","Unknown","#21101155697","No","0.5","HP",NA,NA
"SITE_1140","ROOM_14086","APPL_91654","Waste King",NA,"GX50C","Unknown","1K8-74815-59","No","0.5","HP",NA,NA
"SITE_1141","ROOM_9869","APPL_159377","General Electric",NA,"GFC110-23","Unknown","ZV117640B","No","0.5","HP",NA,NA
"SITE_1143","ROOM_9444","APPL_151313","InSinkErator",NA,"SINKMASTER 750","Unknown","9C7-22723-9","No","0.5","HP",NA,NA
"SITE_1149","ROOM_24600","APPL_172656","InSinkErator",NA,"BADGER1","Unknown","Unknown","No","0.43","HP",NA,NA
"SITE_115","ROOM_42854","APPL_131296","InSinkErator",NA,"BADGER 5","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1150","ROOM_37168","APPL_169703","InSinkErator",NA,"BADGER 500-1","Unknown","#16051311335","No","0.5","HP",NA,NA
"SITE_1152","ROOM_4728","APPL_150465","Kenmore",NA,"#175605811","Unknown","#12111005137","No","0.75","HP",NA,NA
"SITE_1153","ROOM_29666","APPL_134941","InSinkErator",NA,"PRO333-11","Unknown","#04071740783","No","0.75","HP",NA,NA
"SITE_1154","ROOM_6290","APPL_171226","InSinkErator",NA,"CONTRACTOR 333","Unknown","Unknown","No","0.75","HP",NA,NA
"SITE_1156","ROOM_3620","APPL_140194","InSinkErator",NA,"#5-84A","Unknown","#16021140943","No","0.5","HP",NA,NA
"SITE_1157","ROOM_4606","APPL_93742","InSinkErator",NA,"E101-2A","Unknown","#16061152720","No","0.3","HP",NA,NA
"SITE_116","ROOM_22915","APPL_21528","InSinkErator",NA,"#5-84","Unknown","#15101164521","No","0.5","HP",NA,NA
"SITE_1161","ROOM_45529","APPL_52200","Other","KitchenEater","KE1CORD","Unknown","1AB-33384-59","No","Unknown",NA,NA,NA
"SITE_1161","ROOM_5931","APPL_153942","Other","KitchenEater","KE34CORD","Unknown","1M8-70705-59","No","Unknown",NA,NA,NA
"SITE_1162","ROOM_20016","APPL_140446","Other","Evergrind","#E202","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1164","ROOM_44463","APPL_92240","InSinkErator",NA,"BADGER 5-84A","Unknown","#17021442821","No","0.5","HP",NA,NA
"SITE_1165","ROOM_33939","APPL_5754","Unknown",NA,"WASTE KING LEGEND 1001","Unknown","1G4-07364-59","No","0.5","HP",NA,NA
"SITE_1165","ROOM_2395","APPL_98955","Unknown",NA,"BONE CRUSHER MODEL 750","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1166","ROOM_2671","APPL_31063","InSinkErator",NA,"#5-84","Unknown","#10101645492","No","0.5","HP",NA,NA
"SITE_117","ROOM_12775","APPL_130395","InSinkErator",NA,"BADGER 15 SS","Unknown","Unknown","No","0.75","HP",NA,NA
"SITE_1170","ROOM_21654","APPL_61495","InSinkErator",NA,"CONTRACTOR 333-1","Unknown","#16081558031","No","0.75","HP",NA,NA
"SITE_1171","ROOM_5309","APPL_137762","InSinkErator",NA,"BADGER 5-89A","Unknown","#21121254233","No","0.5","HP",NA,NA
"SITE_1172","ROOM_19417","APPL_1148","InSinkErator",NA,"PRO 750-3A","Unknown","#21041240263","No","1","HP",NA,NA
"SITE_1175","ROOM_44240","APPL_41300","InSinkErator",NA,"SELECT PLUS-1","Unknown","#15041263188","No","Unknown",NA,NA,NA
"SITE_1176","ROOM_3399","APPL_161770","Kenmore",NA,"#17560572","Unknown","#09101013911","No","0.5","HP",NA,NA
"SITE_118","ROOM_32254","APPL_49207","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,"NO NAMEPLATE",NA
"SITE_1180","ROOM_5336","APPL_27096","InSinkErator",NA,"#1-83","Unknown","#08101828360","No","0.33","HP",NA,NA
"SITE_1181","ROOM_36367","APPL_128883","InSinkErator",NA,"BADGER5","Unknown","Unknown","No","0.5","HP",NA,NA
