"SiteID","Interior_or_Exterior","Door_Type","Door_Construction","Door_Mechanism","Door_Window_Type","Door_Window_Type_Other","Door_Height_Inches","Door_Width_Inches","Door_Dimensions_Are_Estimated","Door_Area","Door_U_Value","Door_UA"
"SITE_3191","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3191","Exterior","Wood Solid Core","Single","Hinge","> 80% window (glass French door)",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3192","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3193","Exterior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3193","Exterior","Metal","Single","Hinge","None",NA,"80","34","Measured or Known","2720","1.22666666666666","23.1703703703702"
"SITE_3194","Exterior","Wood Solid Core","Single","Hinge","None",NA,"78","36","Measured or Known","2808","0.4","7.8"
"SITE_3195","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","35","Measured or Known","2800","0.4","7.77777777777778"
"SITE_3195","Exterior","Metal","Single","Slider","> 80% window (glass French door)",NA,"80","75","Estimated","6000","1.22666666666666","51.1111111111108"
"SITE_3195","Exterior","Metal","Single","Slider","> 80% window (glass French door)",NA,"80","74","Estimated","5920","1.22666666666666","50.4296296296294"
"SITE_3196","Interior","Wood Hollow","Single","Hinge","None",NA,"78","34","Measured or Known","2652","0.45","8.2875"
"SITE_3197","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3198","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","30","Measured or Known","2400","0.4","6.66666666666667"
"SITE_3198","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3199","Exterior","Vinyl","Single","Slider","> 80% window (glass French door)",NA,"79","70","Measured or Known","5530","0.853","32.7575694444444"
"SITE_3199","Exterior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3200","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
