"SiteID","Wall_Type","Wall_Sub_Type","Wall_Area","Wall_Area_is_Estimated","Wall_Framing_Spacing","Wall_Framing_Spacing_Other","Wall_Framing_Size","Wall_Framing_Material","Wall_Thickness","Furred_Wall","Furred_Wall_Insulated","Furred_Wall_Insulation_Type","Furred_Wall_Insulation_Thickness","Furred_Wall_Insulation_Condition","Furred_Wall_Insulation_Source","Furred_Wall_Insulation_Source_Other","Wall_Cavity_Insulated","Wall_Cavity_Insulation_Type","Wall_Cavity_Depth","Wall_Cavity_Insulation_Thickness","Wall_Cavity_Insulation_Condition","Wall_Cavity_Insulation_Source","Wall_Cavity_Source_Other","Wall_Exterior_Insulated","Wall_Exterior_Insulation_Type","Wall_Exterior_Insulation_Thickness","Wall_Exterior_Insulation_Condition","Basement_Wall_Area_Sq_Ft_Is_Estimated","Basement_Walls_-_Depth_Below_Grade","Wall_Exterior_Insulation_Source","Wall_Exterior_Insulation_Source_Other","Basement_Walls_-_Height_Above_Grade","Basement_Walls_-_Percent_Below_Grade","Wall_Insulation_R-Value","Wall_Insulation_U-Value","Basement_Walls_-_Additional_U-Value_from_Soil","Wall_U-Value_for_Heat_Loss_without_Soil","Wall_U-Value_for_Heat_Loss_including_Soil","Wall_U-Value_for_Heat_Loss","Wall_Heat_Loss_Rate_UA"
"SITE_851","Framed",NA,"2080","Estimated","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Blown fiberglass",NA,"6","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.95","0.0589970501474926",NA,NA,"Unknown","0.069834948532338","145.256692947263"
"SITE_852","Framed",NA,"1688","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"6","1","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.46","0.0488758553274682",NA,NA,"Unknown","0.0635886117002364","107.337576549999"
"SITE_852","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Yes","Blown mineral wool",NA,NA,"0.75","Visual inspection",NA,"No",NA,NA,NA,NA,"2",NA,NA,"2","0.5","0",NA,"0.35","0.709219858156028","0.529609929078014","0.709219858156028","Unknown"
"SITE_853","Framed",NA,"4400","Estimated","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"6","0.9","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.46","0.0488758553274682",NA,NA,"Unknown","0.0852674819554826","375.176920604123"
"SITE_854","Framed",NA,"2346","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"6","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.46","0.0488758553274682",NA,NA,"Unknown","0.0635886117002364","149.178883048755"
"SITE_854","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"8",NA,NA,"0","1","0",NA,"0.19","0.709219858156028","0.19","0.709219858156028","Unknown"
"SITE_855","Framed",NA,"1410","Measured or Known","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"6","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.46","0.0488758553274682",NA,NA,"Unknown","0.0852674819554826","120.22714955723"
"SITE_855","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Measured or Known","7.9",NA,NA,"0","1","0",NA,"0.19","0.709219858156028","0.19","0.709219858156028","Unknown"
"SITE_856","Masonry (Basement)","Concrete Block","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Estimated",NA,NA,NA,NA,NA,"0",NA,"0.35","0.332225913621262","Unknown","0.332225913621262","Unknown"
"SITE_856","Framed",NA,"1136","Estimated","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"4","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.64","0.0733137829912023",NA,NA,"Unknown","0.108984136713704","123.805979306768"
"SITE_857","Framed",NA,"Unknown","Unknown","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"4",NA,NA,NA,"Yes","Closed-cell spray foam","9","0.9",NA,NA,"Other","Home owner",NA,NA,"51.7581818181818","0.0193206168546036",NA,NA,"Unknown","0.0450939792990889","Unknown"
"SITE_858","Framed",NA,"Unknown","Unknown","16 inches on center",NA,"2x4","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"4",NA,"Unknown",NA,"Yes","Closed-cell spray foam","4","0.9",NA,NA,"Other","Home Owner",NA,NA,"35.0036363636364","0.0285684604196966",NA,NA,"Unknown","0.0618703788320179","Unknown"
"SITE_859","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,NA,NA,"Measured or Known","7.75",NA,NA,"0","1","0",NA,"0.19","0.709219858156028","0.19","0.709219858156028","Unknown"
"SITE_859","Masonry (Basement)","Poured Concrete","Unknown","Unknown",NA,NA,NA,NA,NA,"Yes","Unknown",NA,NA,"0.9",NA,NA,"Unknown","Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,NA,NA,"Measured or Known","6.75",NA,NA,"1","0.870967741935484","0",NA,"0.19","0.320177066768749","0.206797040873387","0.320177066768749","Unknown"
"SITE_859","Framed",NA,"2230","Unknown","16 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown",NA,"6","1","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","0.0555555555555556",NA,NA,"Unknown","0.0677384901856074","151.056833113905"
"SITE_86","Framed",NA,"1445","Unknown","24 inches on center",NA,"2x6","Wood",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Mineral wool batts",NA,"3.5","0.9","IR Camera",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.6","0.0793650793650794",NA,NA,"Unknown","0.101563846509518","146.759758206253"
