"SiteID","Occupant_Controls_Heating_Cooling","Heating_Equipment_Operator","Heating_Equipment_Used_The_Most","Heating_Setpoint","Overnight_Heating_Setpoint","Open_Windows_When_Heating","Block_Off_Part_of_Home_In_Heating_Season","Percent_of_Home_At_Different_Temp","Use_Portable_Heating_Equipment","Is_Portable_Heating_In_Storage","Cooling_Setpoint","Overnight_Cooling_Setpoint","Outdoor_Temp_for_Cooling","Use_Portable_Cooling_Equipment","Is_Portable_Cooling_Equipment_In_Storage","Use_Portable_HP_Equipment","Is_Portable_HP_Equipment_In_Storage","Use_Non_Utility_Fuels_For_Heat","Air_Quality","Location_of_Spare_Lamps","Qty_TVs","TVs_Used_Most","Primary_TV_Hours_per_Day","Primary_TV_Age","Secondary_TVs_Hours_per_Day","Secondary_TV_Age","Smart_Home_Devices_Present","Smart_Home_Hubs_in_Use","Smart_Home_Hub_Communication","Qty_Other_Smart_Hubs","Other_Smart_Hub_Names","Smart_Large_Appliances","Smart_Power_Strips","Qty_Smart_Socket_Plugs","Qty_Smart_Wall_Switches","Qty_Clothes_Washer_Loads_per_Week","Qty_Dishwasher_Loads_per_Week","Percent_Clothes_Washer_Loads_Washed_in_Hot_Water","Showerhead_Used_The_Most","Electric_Vehicle_Present","Pool_Present","Pool_Type","Pool_Location","Pool_Availability_Months_Per_Year","Pool_Area_Sq_Ft","Pool_Area_Is_Estimated","Pool_Cover","Pool_Heat_Primary_Fuel_Type","Pool_Heat_Primary_Fuel_Type_Other","Pool_Solar_Assist","Hot_Tub_Present","Hot_Tub_Area","Hot_Tub_Area_Is_Estimated","Onsite_Power_Generation_Present","Onsite_Power_Generation_Type","Onsite_Power_Generation_Type_Other","Fossil_Fuel_System_Power_Rating","Generator_Fuel","PV_Power_Rating","PV_Financing","PV_Financing_Other","Power_Storage_Present","Power_Storage_Type","Power_Storage_Type_Other","Backup_Battery_Capacity_kW","Backup_Battery_Capacity_kWh","Capacity_of_Hot_Water_Thermal_Storage"
"SITE_130","Yes",NA,"Ductless Mini-split Heat Pump","72","68","No","Yes","25","Yes","Yes","74",NA,"85",NA,"No",NA,"No","Yes","Mildew","MUDROOM","1",NA,"4","8",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","1","0","0","MAIN","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Fossil Fuel generator – hardwired with grid disconnects, NOT an emergency use unit",NA,"8.75","Petrol",NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1300","Yes",NA,"Unknown","70","Unknown","Yes","No","0","No",NA,"80","80","90",NA,"No",NA,"No","Yes","No, no air quality problems","Laundry room","6","Unknown","0.5","10","Unknown","Unknown","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","1","2","0","PRIMARY","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1301","Yes",NA,"Boiler","68","62","No","Yes","Unknown","No",NA,NA,NA,"Unknown",NA,"No",NA,"No","Yes","No, no air quality problems","Laundry","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","1","3","0","MASTER BEDROOM BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Solar / PV System",NA,NA,NA,"2.5","Purchased outright",NA,"No",NA,NA,NA,NA,NA
"SITE_1302","Yes",NA,"Central Air Source Heat Pump","71","71","No","No","0","No",NA,"71","71","83",NA,"No",NA,"No","Yes","No, no air quality problems","Laundry room","3","Living room,  primary bedroom","6","5","2","7","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","1","2","90","PRIMARY BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1303","Yes",NA,"Furnace","72","72","No","No","0","No",NA,"74","74","78",NA,"No",NA,"No","No","No, no air quality problems","Downstairs","2","Unknown","8","5","1","20","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","3","0","33","ONLY ONE","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Solar / PV System",NA,NA,NA,"Unknown","Power purchase agreement with third party",NA,"No",NA,NA,NA,NA,NA
"SITE_1304","Yes",NA,"Furnace","68","60","No","No","0","No",NA,"75",NA,"95",NA,"No",NA,"No","No","No, no air quality problems","Unknown","2","Unknown","11","3","2","12","Yes","Unknown","Unknown",NA,NA,"Thermostat","Unknown","Unknown","Unknown","5","4","0","MASTERS BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","34","Estimated","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1305","Yes",NA,"Furnace","Unknown","62","No","Yes","50","Yes","Unknown","70",NA,"85","No","Yes",NA,"No","Yes","Stuffy, Drafty, Mildew, Persistent Odor","Pantry","1",NA,"6","2",NA,NA,"Yes","Google Home / Nest","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,NA,"Unknown","0","0","4","1","50","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1306","Yes",NA,"Furnace","72","72","No","No","0","No",NA,"72","74","75",NA,"No",NA,"No","No","No, no air quality problems","Cupboard in house","4","Living and dining","13","4","8","10","Yes","Alexa Echo, Other","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features), Phone App (using a phone application to start and stop devices and routines)","1","Govee,  meross,  smart life",NA,"0","3","0","4","3","100","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1307","Yes",NA,"Central Air Source Heat Pump","69","65","No","No","0","Yes","Unknown","74","76","90",NA,"No",NA,"No","Yes","No, no air quality problems","Laundry room","1",NA,"4","5",NA,NA,"Unknown","Unknown","Unknown",NA,NA,NA,"Unknown","Unknown","Unknown","3","5","50","MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1308","Yes",NA,"Wall Heater","Unknown","Unknown","No","No","0","No",NA,NA,NA,"Unknown",NA,"No",NA,"No","No","Mildew","None","2","Unknown","20","Unknown","4","Unknown","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","ONLY ONE","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
