"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Stove_Oven_Missing_Model_Reason","Stove_Oven_Missing_Model_Reason_Other","Vintage","Serial","Wifi_Enabled","Primary","Stove_Fuel","Stove_Type","Stove_Type_Other","Stove_Number_Burners","Oven_Fuel","Oven_Fuel_Other","Oven_Type","Oven_Single_Or_Double","Room_Type"
"SITE_313","ROOM_31542","APPL_74880","Stove / Oven combo","Caloric",NA,"PRESTIGE SERIES",NA,NA,"Unknown","Unknown","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_314","ROOM_13500","APPL_46483","Oven (standalone / wall)","General Electric",NA,"P 1916S R2SS",NA,NA,"Unknown","LA6 02386Q","No","Yes",NA,NA,NA,NA,"Electric",NA,"Both","Single Oven","Kitchen"
"SITE_314","ROOM_13500","APPL_52078","Stovetop","General Electric",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_315","ROOM_22927","APPL_63185","Stove / Oven combo","Frigidaire",NA,"RT-60",NA,NA,"1952","20C05968","No","Yes","Electric","Coils",NA,"3","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_316","ROOM_39089","APPL_164634","Stove / Oven combo","Frigidaire",NA,"FGES3065PFC",NA,NA,"Unknown","AF42503242","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_317","ROOM_21912","APPL_72702","Stove / Oven combo","Samsung",NA,"NX58H5600SS/AA",NA,NA,"2019","0BGG7DDM405465P","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Both","Single Oven","Kitchen"
"SITE_319","ROOM_14016","APPL_79952","Stovetop","Jenn-Air",NA,"JDA700",NA,NA,"Unknown","JED44330WS01","No","Yes","Electric","Induction",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_319","ROOM_14016","APPL_100953","Oven (standalone / wall)","KitchenAid",NA,"KEBK171SSS04",NA,NA,"Unknown","DY4274194","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_32","ROOM_10611","APPL_81225","Stovetop","Whirlpool",NA,"WCG55US0HS00",NA,NA,"Unknown","DA4004835","No","Yes","Natural Gas","Combustion",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_32","ROOM_10611","APPL_96043","Oven (standalone / wall)","Whirlpool",NA,"WOS51ES4EB01",NA,NA,"Unknown","D84001225","No","Yes",NA,NA,NA,NA,"Unknown","Unknown","Radiant","Single Oven","Kitchen"
"SITE_320","ROOM_12468","APPL_156332","Stove / Oven combo","LG",NA,"LRE3061BD/00",NA,NA,"2017","706MMHP07105","No","Yes","Electric","Induction",NA,"4","Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_321","ROOM_6656","APPL_62374","Stove / Oven combo","Samsung",NA,"NE58K9430SS/AA",NA,NA,"2020","0D227DCN500619A","No","Yes","Electric","Induction",NA,"4","Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_322","ROOM_19564","APPL_143245","Stove / Oven combo","General Electric",NA,"JBP66W0H2WW",NA,NA,"Unknown","MG224264Q","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_323","ROOM_42870","APPL_94125","Stove / Oven combo","Samsung",NA,"NE59M4320SS",NA,NA,"2019","0EQJ7DCM308534E","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_324","ROOM_28769","APPL_68333","Stove / Oven combo","Viking",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Both","Single Oven","Kitchen"
"SITE_325","ROOM_11130","APPL_110583","Stove / Oven combo","HotPoint",NA,"R B757W H1WW",NA,NA,"2003","ZH230329R","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_326","ROOM_26966","APPL_153974","Stovetop","Tappan",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Electric","Coils",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_326","ROOM_26966","APPL_82947","Oven (standalone / wall)","Frigidaire",NA,"FEB374CHSA",NA,NA,"Unknown","NF91512230","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_327","ROOM_4132","APPL_82933","Stove / Oven combo","Café",NA,"CHS900P2M2S1",NA,NA,"Unknown","DS186106P","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_328","ROOM_32744","APPL_45818","Stove / Oven combo","HotPoint",NA,"RB525S1WH",NA,NA,"Unknown","HH107924H","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
