"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Refrigerator_Freezer_Missing_Model_Reason","Vintage","Serial","Energy_Star","Wifi_Enabled","Primary","Size_Cubic_Feet","Size_Is_Estimated","Percent_of_Year_Used","Door_in_Door","Integrated_Screen","Icemaker_Present","Icemaker_type","Icemaker_Working","Room_Type"
"SITE_624","ROOM_19584","APPL_32634","R/F Bottom Freezer","General Electric",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","Unknown",NA,"100","No","No","No",NA,NA,"Basement"
"SITE_625","ROOM_20010","APPL_16922","Side by Side Refrigerator/Freezer","Amana",NA,"ASD2624HEW",NA,"Unknown","50631076EN","No","No","Yes","26","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_625","ROOM_12079","APPL_45716","Mini-Fridge","General Electric",NA,"Unknown",NA,"Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Garage"
"SITE_626","ROOM_14609","APPL_1562","Side by Side Refrigerator/Freezer","Amana",NA,"ASI2575GRW01",NA,"2019","HR93340010","No","No","Yes","Unknown",NA,"100","No","No","Yes","Through door","Unknown","Kitchen"
"SITE_626","ROOM_44005","APPL_162340","R/F Bottom Freezer","General Electric",NA,"CWE23SSHDSS",NA,"Unknown","SF509527","No","No","Yes","Unknown",NA,"75","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_626","ROOM_42553","APPL_15328","R/F Top Freezer","Kenmore",NA,"Unknown","Unknown","Unknown","Unknown","No","No","No","Unknown",NA,"Unknown","No","No","Unknown",NA,NA,"Garage"
"SITE_627","ROOM_2277","APPL_7918","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FRS6R5ESB6",NA,"2007","4A71121521","No","No","Yes","33.4","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_628","ROOM_14242","APPL_87978","Side by Side Refrigerator/Freezer","Whirlpool",NA,"ED2FT6XK04",NA,"2003","SP1639098","No","No","Yes","Unknown",NA,"100","No","No","Yes","Through door","No","Kitchen"
"SITE_629","ROOM_17902","APPL_143976","R/F Top Freezer","Frigidaire",NA,"FGTR1845QF3",NA,"2017","BA71724706","No","No","Yes","18","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_63","ROOM_9141","APPL_31991","R/F Bottom Freezer","Electrolux",NA,"LFHB2751TF8",NA,"2021","4A13203898","No","No","Yes","22","Measured or Known","100","Yes","No","Yes","Through door","Yes","Kitchen"
"SITE_630","ROOM_22286","APPL_104556","Upright Full Size Single Freezer Only","Frigidaire",NA,"FFFH17F2QWA",NA,"2015","WB53943681","Yes","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Outbuilding / Addition"
"SITE_630","ROOM_22286","APPL_36843","R/F Top Freezer","Frigidaire",NA,"FGTR2045QP1",NA,"2015","4A54924633","No","No","No","Unknown",NA,"100","No","No","No",NA,NA,"Outbuilding / Addition"
"SITE_630","ROOM_31720","APPL_127158","R/F Bottom Freezer","Samsung",NA,"RD22A4221SR",NA,"Unknown","0BA34BBRBO4291R","No","No","Yes","Unknown",NA,"100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_631","ROOM_4765","APPL_63555","R/F Top Freezer","KitchenAid",NA,"K2TREFFWMS01",NA,"Unknown","VS04936021","No","No","Yes","25.6","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_632","ROOM_44897","APPL_165070","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FGHS2655PF2",NA,"Unknown","4A40407272","No","No","Yes","26","Measured or Known","100","Yes","No","Yes","Through door","Yes","Kitchen"
"SITE_632","ROOM_46438","APPL_71262","Upright Full Size Single Freezer Only","Whirlpool",NA,"EV160FXK",NA,"Unknown","Unknown","No","No","No","15.9","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_633","ROOM_9099","APPL_92919","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FFHS2622MSA",NA,"2012","4A24318633","No","No","Yes","26","Measured or Known","100","Yes","No","Yes","Through door","Yes","Kitchen"
"SITE_634","ROOM_34466","APPL_78535","Chest Freezer","Electrolux",NA,"FFFC09M1RW",NA,"Unknown","1D82847996","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Outbuilding / Addition"
