"SiteID","RoomID","ApplianceID","Model","Vintage","Wifi_Enabled","Used_for_DVD_or_Bluray","Room_Type"
"SITE_1588","ROOM_27830","APPL_33063","MICROSOFT XBOX SERIES S","Unknown","Yes","Yes","Living Room"
"SITE_1588","ROOM_27830","APPL_85955","MICROSOFT XBOX 360","Unknown","Yes","No","Living Room"
"SITE_1588","ROOM_34144","APPL_168911","MICROSOFT XBOX SERIES S","Unknown","Yes","Yes","Bedroom"
"SITE_1592","ROOM_24135","APPL_131291","SONY PLAYSTATION4","Unknown","Yes","Unknown","Living Room"
"SITE_1599","ROOM_21374","APPL_32974","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1602","ROOM_45922","APPL_71077","SONY PLAYSTATION5","Unknown","Yes","Yes","Bedroom"
"SITE_1602","ROOM_7828","APPL_140580","SONY PLAYSTATION5","Unknown","Yes","Yes","Living Room"
"SITE_1602","ROOM_20632","APPL_92864","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_1604","ROOM_25607","APPL_80626","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1607","ROOM_34673","APPL_19060","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1611","ROOM_19226","APPL_27372","SONY PLAYSTATION4","Unknown","Yes","Unknown","Living Room"
"SITE_1613","ROOM_45317","APPL_78835","SONY PLAYSTATION4","Unknown","Yes","Unknown","Living Room"
"SITE_1613","ROOM_45317","APPL_143866","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1615","ROOM_31846","APPL_81733","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1615","ROOM_31846","APPL_38095","MICROSOFT XBOX SERIES S","Unknown","Yes","Yes","Living Room"
"SITE_162","ROOM_14812","APPL_173878","MICROSOFT XBOX ONE","Unknown","Yes","No","Family Room"
"SITE_1622","ROOM_14078","APPL_42756","SONY PLAYSTATION4","Unknown","Yes","Yes","Living Room"
"SITE_1622","ROOM_14078","APPL_151637","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1624","ROOM_45837","APPL_85379","NINTENDO SUPER NINTENDO ENTERTAINMENT SYSTEM","Unknown","No","No","Family Room"
"SITE_1624","ROOM_5029","APPL_77507","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_1624","ROOM_5029","APPL_52288","SONY PLAYSTATION4","Unknown","Yes","Yes","Family Room"
"SITE_1634","ROOM_43293","APPL_141127","MICROSOFT XBOX 360","Unknown","Yes","Yes","Bedroom"
"SITE_164","ROOM_13413","APPL_103799","MICROSOFT XBOX 360","Unknown","Yes","Yes","Family Room"
"SITE_1641","ROOM_21079","APPL_140495","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_1641","ROOM_25318","APPL_61816","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_1641","ROOM_25318","APPL_1417","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_1641","ROOM_36881","APPL_91978","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_1643","ROOM_37834","APPL_35021","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_1645","ROOM_32565","APPL_107163","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_17","ROOM_39183","APPL_86260","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Basement"
"SITE_171","ROOM_4969","APPL_155119","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_171","ROOM_21847","APPL_26766","SONY PLAYSTATION3","Unknown","Yes","Yes","Living Room"
"SITE_171","ROOM_21847","APPL_39642","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_171","ROOM_21847","APPL_168910","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1733","ROOM_6712","APPL_50230","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_1735","ROOM_38519","APPL_100145","MICROSOFT XBOX ONE","Unknown","Yes","No","Bedroom"
"SITE_1739","ROOM_7790","APPL_168920","SONY PLAYSTATION4","Unknown","Yes","No","Living Room"
"SITE_1743","ROOM_15741","APPL_2041","MICROSOFT XBOX SERIES S","2021","Yes","No","Bedroom"
"SITE_1743","ROOM_25517","APPL_14134","MICROSOFT XBOX ONE","Unknown","Yes","No","Bedroom"
"SITE_1744","ROOM_27804","APPL_144083","NINTENDO GAME CUBE","Unknown","No","No","Living Room"
"SITE_1745","ROOM_6010","APPL_127627","NINTENDO SWITCH","2020","Yes","No","Bedroom"
"SITE_1747","ROOM_29810","APPL_101807","MICROSOFT XBOX ONE","Unknown","Yes","No","Family Room"
"SITE_1752","ROOM_41879","APPL_52807","MICROSOFT XBOX ONE","2017","Yes","Unknown","Dining Room"
"SITE_1757","ROOM_32958","APPL_48428","SONY PLAYSTATION4","Unknown","Yes","Yes","Living Room"
"SITE_1760","ROOM_8874","APPL_26107","MICROSOFT XBOX SERIES X","Unknown","Yes","Yes","Family Room"
"SITE_1763","ROOM_21062","APPL_34517","SONY PLAYSTATION5","Unknown","Yes","Yes","Living Room"
"SITE_1764","ROOM_12808","APPL_70680","MICROSOFT XBOX 360","Unknown","Yes","Yes","Bedroom"
"SITE_1764","ROOM_44969","APPL_173992","MICROSOFT XBOX SERIES X","Unknown","Yes","Yes","Living Room"
"SITE_1768","ROOM_45980","APPL_127610","MICROSOFT XBOX 360","Unknown","Yes","No","Dining Room"
"SITE_1769","ROOM_39458","APPL_55206","MICROSOFT XBOX SERIES S","Unknown","Yes","No","Living Room"
"SITE_1770","ROOM_21933","APPL_26034","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1776","ROOM_3135","APPL_6737","SONY PLAYSTATION2","Unknown","No","Yes","Living Room"
"SITE_1778","ROOM_46133","APPL_165","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_1778","ROOM_22740","APPL_17854","MICROSOFT XBOX 360","2020","Yes","Yes","Family Room"
"SITE_1786","ROOM_7139","APPL_41072","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_1787","ROOM_12772","APPL_7391","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_1788","ROOM_3081","APPL_79258","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_1789","ROOM_19401","APPL_4074","SONY PLAYSTATION4","Unknown","Yes","Yes","Living Room"
"SITE_1793","ROOM_43691","APPL_50398","SONY PLAYSTATION3","Unknown","Yes","No","Bedroom"
"SITE_1796","ROOM_30968","APPL_71128","NINTENDO WII","Unknown","Yes","No","Bedroom"
"SITE_18","ROOM_40928","APPL_110047","SONY PLAYSTATION4","2013","Yes","Yes","Living Room"
"SITE_1803","ROOM_10567","APPL_171335","SONY PLAYSTATION4","Unknown","Yes","Yes","Living Room"
"SITE_1805","ROOM_20407","APPL_29353","SONY PLAYSTATION4","2015","Yes","Unknown","Living Room"
"SITE_1805","ROOM_31202","APPL_173014","MICROSOFT XBOX ONE","2013","Yes","Unknown","Bedroom"
"SITE_1807","ROOM_46089","APPL_86205","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_1807","ROOM_46089","APPL_3411","SONY PLAYSTATION3","Unknown","Yes","No","Bedroom"
"SITE_1807","ROOM_46089","APPL_30772","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1807","ROOM_24626","APPL_28008","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Bedroom"
"SITE_1809","ROOM_10134","APPL_26847","MICROSOFT XBOX SERIES X","2020","Yes","Unknown","Living Room"
"SITE_1809","ROOM_42331","APPL_57731","MICROSOFT XBOX ONE","2014","Yes","Unknown","Bedroom"
"SITE_1819","ROOM_36210","APPL_102636","SONY PLAYSTATION4","Unknown","Yes","Unknown","Living Room"
"SITE_1820","ROOM_16519","APPL_131766","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_1820","ROOM_16519","APPL_58352","MICROSOFT XBOX SERIES S","Unknown","Yes","No","Bedroom"
"SITE_1820","ROOM_19662","APPL_124845","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1820","ROOM_27229","APPL_68541","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Bedroom"
"SITE_1822","ROOM_14821","APPL_156022","NINTENDO SWITCH","Unknown","Yes","No","Family Room"
"SITE_1822","ROOM_14821","APPL_27163","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_1822","ROOM_14821","APPL_76804","MICROSOFT XBOX ONE","2016","Yes","No","Family Room"
"SITE_1822","ROOM_15956","APPL_63242","MICROSOFT XBOX 360","2008","Yes","No","Other"
"SITE_1823","ROOM_16091","APPL_67670","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1823","ROOM_11702","APPL_86896","MICROSOFT XBOX SERIES X","2017","Yes","Yes","Family Room"
"SITE_1825","ROOM_3299","APPL_100393","MICROSOFT XBOX ONE","2013","Yes","Yes","Living Room"
"SITE_1828","ROOM_45599","APPL_69790","MICROSOFT XBOX 360","Unknown","Yes","No","Living Room"
"SITE_1829","ROOM_148","APPL_151825","SONY PLAYSTATION3","Unknown","Yes","No","Family Room"
"SITE_183","ROOM_34944","APPL_130649","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_183","ROOM_34944","APPL_168342","SONY PLAYSTATION5","Unknown","Yes","Yes","Living Room"
"SITE_183","ROOM_34944","APPL_120023","SONY PLAYSTATION4","Unknown","Yes","No","Living Room"
"SITE_1837","ROOM_32796","APPL_134470","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_1837","ROOM_32796","APPL_80090","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_1845","ROOM_18187","APPL_127476","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1845","ROOM_8420","APPL_105015","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1845","ROOM_17055","APPL_170305","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_1847","ROOM_13345","APPL_29879","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1848","ROOM_25323","APPL_90933","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1852","ROOM_8387","APPL_19743","MICROSOFT XBOX 360","Unknown","Yes","No","Living Room"
"SITE_1853","ROOM_24872","APPL_128643","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_186","ROOM_40785","APPL_118353","SONY PLAYSTATION4","Unknown","Yes","No","Family Room"
"SITE_186","ROOM_2621","APPL_112886","MICROSOFT XBOX 360","Unknown","Yes","No","Basement"
"SITE_1867","ROOM_1479","APPL_11145","NINTENDO SWITCH","Unknown","Yes","No","Family Room"
"SITE_187","ROOM_4499","APPL_128930","SONY PLAYSTATION4","Unknown","Yes","Unknown","Other"
"SITE_1870","ROOM_40517","APPL_105646","MICROSOFT XBOX 360","Unknown","Yes","No","Bedroom"
"SITE_1870","ROOM_40517","APPL_153085","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_1870","ROOM_40517","APPL_8603","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_188","ROOM_20456","APPL_6192","SONY PLAYSTATION4","Unknown","Yes","No","Family Room"
"SITE_1880","ROOM_7860","APPL_10202","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_1884","ROOM_7474","APPL_115264","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Bedroom"
"SITE_1891","ROOM_4239","APPL_156358","MICROSOFT XBOX SERIES S","Unknown","Yes","Yes","Outbuilding / Addition"
"SITE_1892","ROOM_28724","APPL_149423","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Living Room"
"SITE_1892","ROOM_32714","APPL_161063","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Bedroom"
"SITE_1892","ROOM_20128","APPL_131277","MICROSOFT XBOX SERIES X","Unknown","Yes","Unknown","Other"
"SITE_1892","ROOM_20128","APPL_130293","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Other"
"SITE_1896","ROOM_42560","APPL_4651","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1899","ROOM_3357","APPL_155257","NINTENDO WII","Unknown","Yes","No","Bedroom"
"SITE_19","ROOM_18298","APPL_138574","SONY PLAYSTATION4","2014","Yes","Yes","Living Room"
"SITE_1901","ROOM_29853","APPL_172760","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_1901","ROOM_10546","APPL_4443","MICROSOFT XBOX 360","Unknown","Yes","Yes","Bedroom"
"SITE_1901","ROOM_39151","APPL_135681","MICROSOFT XBOX 360","Unknown","Yes","Yes","Bedroom"
"SITE_1901","ROOM_42429","APPL_142684","MICROSOFT XBOX 360","Unknown","Yes","Yes","Bedroom"
"SITE_1903","ROOM_17799","APPL_92769","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1907","ROOM_2187","APPL_71155","NINTENDO SWITCH","Unknown","Yes","No","Kitchen"
"SITE_1907","ROOM_2187","APPL_173536","SONY PLAYSTATION4","2015","Yes","Yes","Kitchen"
"SITE_1907","ROOM_31915","APPL_140545","SONY PLAYSTATION5","Unknown","Yes","No","Office"
"SITE_1908","ROOM_43903","APPL_48091","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_1909","ROOM_18229","APPL_110776","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1909","ROOM_3346","APPL_11018","SONY PLAYSTATION4","Unknown","Yes","Yes","Living Room"
"SITE_1909","ROOM_3346","APPL_28396","MICROSOFT XBOX SERIES X","Unknown","Yes","Yes","Living Room"
"SITE_1909","ROOM_3346","APPL_163846","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1909","ROOM_3346","APPL_53450","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1910","ROOM_3497","APPL_78872","NINTENDO WII-U","2012","Yes","No","Family Room"
"SITE_1910","ROOM_3497","APPL_26900","NINTENDO WII","2006","Yes","No","Family Room"
"SITE_1915","ROOM_44988","APPL_169774","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1920","ROOM_44007","APPL_43615","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_1920","ROOM_44007","APPL_104933","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_1922","ROOM_34533","APPL_155843","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_1926","ROOM_25173","APPL_88490","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_1926","ROOM_25173","APPL_111526","MICROSOFT XBOX SERIES S","Unknown","Yes","No","Living Room"
