"SiteID","RoomID","WaterDetail_ID","Room_Type","Fixture_Type","Rated_GPM","Primary_Shower","Usage"
"SITE_503","ROOM_19158","APPL_136600","Bathroom","Shower","2.5","Primary","Daily / Almost Daily"
"SITE_504","ROOM_28700","APPL_44203","Kitchen","Faucet","1.8",NA,NA
"SITE_504","ROOM_8139","APPL_174263","Bathroom","Faucet","2",NA,NA
"SITE_504","ROOM_8139","APPL_149698","Bathroom","Shower / Bathtub combo with Diverter Valve","2.5","All used about the same","Daily / Almost Daily"
"SITE_504","ROOM_38913","APPL_32585","Mechanical","Faucet","2.2",NA,NA
"SITE_504","ROOM_39200","APPL_90781","Bathroom","Faucet","Unknown",NA,NA
"SITE_504","ROOM_39200","APPL_62025","Bathroom","Shower","Unknown","All used about the same","Daily / Almost Daily"
"SITE_505","ROOM_36534","APPL_1443","Bathroom","Faucet","1",NA,NA
"SITE_505","ROOM_40128","APPL_43514","Laundry","Faucet","1.5",NA,NA
"SITE_505","ROOM_13793","APPL_173249","Bathroom","Faucet","1.5",NA,NA
"SITE_505","ROOM_13793","APPL_56911","Bathroom","Faucet","1.5",NA,NA
"SITE_505","ROOM_13793","APPL_44002","Bathroom","Shower / Bathtub combo with Diverter Valve","1.8","Secondary","A few times per week"
"SITE_505","ROOM_765","APPL_17003","Kitchen","Faucet","1.5",NA,NA
"SITE_505","ROOM_36534","APPL_22586","Bathroom","Faucet","1",NA,NA
"SITE_505","ROOM_36534","APPL_52185","Bathroom","Bathtub","Unknown","Secondary","A few times per year or less"
"SITE_505","ROOM_36534","APPL_59858","Bathroom","Shower","2","Primary","Daily / Almost Daily"
"SITE_505","ROOM_36534","APPL_91184","Bathroom","Shower","2","Primary","Daily / Almost Daily"
"SITE_505","ROOM_36534","APPL_8530","Bathroom","Shower","1.8","Primary","Daily / Almost Daily"
"SITE_506","ROOM_28244","APPL_29343","Kitchen","Faucet","Unknown",NA,NA
"SITE_506","ROOM_2504","APPL_112194","Laundry","Faucet","1.8",NA,NA
"SITE_506","ROOM_16398","APPL_10457","Bathroom","Faucet","1.8",NA,NA
"SITE_506","ROOM_16398","APPL_172810","Bathroom","Shower / Bathtub combo with Diverter Valve","2.2","Primary","Daily / Almost Daily"
"SITE_507","ROOM_40277","APPL_162428","Kitchen","Faucet","1.5",NA,NA
"SITE_507","ROOM_22888","APPL_98446","Bathroom","Faucet","1.5",NA,NA
"SITE_507","ROOM_22888","APPL_78223","Bathroom","Shower / Bathtub combo with Diverter Valve","2.5","Primary","Daily / Almost Daily"
"SITE_508","ROOM_43360","APPL_141207","Kitchen","Faucet","Unknown",NA,NA
"SITE_508","ROOM_35872","APPL_118690","Bathroom","Faucet","Unknown",NA,NA
"SITE_508","ROOM_35872","APPL_39075","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","All used about the same","A few times per week"
"SITE_508","ROOM_5950","APPL_60983","Laundry","Faucet","Unknown",NA,NA
"SITE_508","ROOM_5950","APPL_81888","Laundry","Shower","Unknown","Secondary","A few times per year or less"
"SITE_508","ROOM_18262","APPL_7338","Bathroom","Faucet","Unknown",NA,NA
"SITE_508","ROOM_27124","APPL_32059","Bathroom","Faucet","Unknown",NA,NA
"SITE_508","ROOM_27124","APPL_5302","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","All used about the same","Daily / Almost Daily"
"SITE_508","ROOM_25623","APPL_147905","Family Room","Faucet","Unknown",NA,NA
"SITE_509","ROOM_42119","APPL_59541","Laundry","Faucet","Unknown",NA,NA
"SITE_509","ROOM_33834","APPL_130489","Bathroom","Faucet","2",NA,NA
"SITE_509","ROOM_33834","APPL_66306","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Secondary","A few times per year or less"
"SITE_509","ROOM_18619","APPL_68625","Bathroom","Faucet","2",NA,NA
"SITE_509","ROOM_18619","APPL_81126","Bathroom","Faucet","2",NA,NA
"SITE_509","ROOM_18619","APPL_29112","Bathroom","Bathtub","Unknown","Primary",NA
"SITE_509","ROOM_18619","APPL_35561","Bathroom","Shower","Unknown","Primary","Daily / Almost Daily"
"SITE_509","ROOM_7335","APPL_64619","Kitchen","Faucet","1.5",NA,NA
"SITE_51","ROOM_7423","APPL_102110","Bathroom","Faucet","Unknown",NA,NA
"SITE_51","ROOM_28243","APPL_87711","Bathroom","Faucet","Unknown",NA,NA
"SITE_51","ROOM_28243","APPL_102656","Bathroom","Faucet","Unknown",NA,NA
"SITE_51","ROOM_28243","APPL_137524","Bathroom","Shower","Unknown","Primary","A few times per week"
"SITE_51","ROOM_28243","APPL_149988","Bathroom","Shower","Unknown","Primary","A few times per week"
"SITE_51","ROOM_18830","APPL_150883","Kitchen","Faucet","Unknown",NA,NA
"SITE_51","ROOM_23677","APPL_85104","Laundry","Faucet","Unknown",NA,NA
"SITE_51","ROOM_26278","APPL_40685","Bathroom","Faucet","Unknown",NA,NA
"SITE_51","ROOM_26278","APPL_144353","Bathroom","Faucet","Unknown",NA,NA
"SITE_51","ROOM_29964","APPL_128365","Bathroom","Faucet","Unknown",NA,NA
"SITE_51","ROOM_29964","APPL_127477","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Secondary","A few times per year or less"
"SITE_510","ROOM_22108","APPL_93014","Laundry","Faucet","Unknown",NA,NA
"SITE_510","ROOM_20816","APPL_117102","Bathroom","Faucet","Unknown",NA,NA
"SITE_510","ROOM_20816","APPL_127177","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Secondary","A few times per month"
"SITE_510","ROOM_41726","APPL_123546","Bathroom","Faucet","Unknown",NA,NA
"SITE_510","ROOM_41726","APPL_112640","Bathroom","Faucet","Unknown",NA,NA
"SITE_510","ROOM_41726","APPL_28656","Bathroom","Shower","Unknown","Primary","Daily / Almost Daily"
"SITE_510","ROOM_3719","APPL_40252","Kitchen","Faucet","Unknown",NA,NA
"SITE_511","ROOM_14471","APPL_39013","Bathroom","Faucet","2.2",NA,NA
"SITE_511","ROOM_14471","APPL_79128","Bathroom","Faucet","2.2",NA,NA
"SITE_511","ROOM_14471","APPL_105320","Bathroom","Bathtub","Unknown","Secondary","A few times per year or less"
"SITE_511","ROOM_14471","APPL_128809","Bathroom","Shower","2.5","Primary","Daily / Almost Daily"
"SITE_511","ROOM_17501","APPL_145037","Bathroom","Faucet","2.2",NA,NA
"SITE_511","ROOM_17501","APPL_136239","Bathroom","Shower / Bathtub combo with Diverter Valve","2.2","Secondary","A few times per year or less"
"SITE_511","ROOM_35988","APPL_67643","Kitchen","Faucet","2.2",NA,NA
"SITE_512","ROOM_4875","APPL_8585","Kitchen","Faucet","1.8",NA,NA
"SITE_512","ROOM_6121","APPL_100288","Bathroom","Faucet","1.5",NA,NA
"SITE_512","ROOM_6121","APPL_57868","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Secondary","A few times per year or less"
"SITE_512","ROOM_12655","APPL_172374","Bathroom","Faucet","Unknown",NA,NA
"SITE_512","ROOM_12655","APPL_34470","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Primary","Daily / Almost Daily"
"SITE_513","ROOM_2032","APPL_80655","Kitchen","Faucet","2.2",NA,NA
"SITE_513","ROOM_12776","APPL_18268","Bathroom","Faucet","2.2",NA,NA
"SITE_513","ROOM_12776","APPL_2456","Bathroom","Shower","2.5","Primary","A few times per week"
"SITE_514","ROOM_34167","APPL_137714","Kitchen","Faucet","1",NA,NA
"SITE_514","ROOM_46825","APPL_58865","Bathroom","Faucet","1",NA,NA
"SITE_514","ROOM_46825","APPL_159702","Bathroom","Shower / Bathtub combo with Diverter Valve","1.8","Primary","Daily / Almost Daily"
"SITE_515","ROOM_21986","APPL_131702","Garage","Faucet","2",NA,NA
"SITE_515","ROOM_5523","APPL_44447","Bathroom","Faucet","2",NA,NA
"SITE_515","ROOM_10170","APPL_41737","Kitchen","Faucet","Unknown",NA,NA
"SITE_515","ROOM_28423","APPL_162421","Bathroom","Faucet","Unknown",NA,NA
"SITE_515","ROOM_28423","APPL_97046","Bathroom","Shower","2","Secondary","A few times per month"
"SITE_515","ROOM_16344","APPL_37270","Bathroom","Faucet","2.2",NA,NA
"SITE_515","ROOM_16344","APPL_33234","Bathroom","Faucet","2.2",NA,NA
"SITE_515","ROOM_16344","APPL_130410","Bathroom","Shower","2","Primary","Daily / Almost Daily"
"SITE_515","ROOM_16344","APPL_15069","Bathroom","Bathtub","Unknown","Primary","A few times per week"
"SITE_516","ROOM_25037","APPL_137087","Bathroom","Faucet","Unknown",NA,NA
"SITE_516","ROOM_25037","APPL_170217","Bathroom","Shower","1.75","Secondary","A few times per year or less"
"SITE_516","ROOM_3314","APPL_29848","Bathroom","Faucet","Unknown",NA,NA
"SITE_516","ROOM_10945","APPL_135440","Bathroom","Faucet","Unknown",NA,NA
"SITE_516","ROOM_10945","APPL_7900","Bathroom","Faucet","Unknown",NA,NA
"SITE_516","ROOM_10945","APPL_12307","Bathroom","Shower","Unknown","Primary","Daily / Almost Daily"
"SITE_516","ROOM_1199","APPL_97561","Bathroom","Faucet","Unknown",NA,NA
"SITE_516","ROOM_1199","APPL_124172","Bathroom","Shower","Unknown","Secondary","A few times per year or less"
"SITE_516","ROOM_32987","APPL_21049","Laundry","Faucet","Unknown",NA,NA
"SITE_516","ROOM_1034","APPL_141009","Kitchen","Faucet","Unknown",NA,NA
"SITE_517","ROOM_7743","APPL_44086","Bathroom","Faucet","Unknown",NA,NA
"SITE_517","ROOM_7743","APPL_105006","Bathroom","Faucet","Unknown",NA,NA
"SITE_517","ROOM_7743","APPL_81528","Bathroom","Shower / Bathtub combo with Diverter Valve","1.8","Primary","A few times per year or less"
"SITE_517","ROOM_39408","APPL_149813","Bathroom","Faucet","Unknown",NA,NA
"SITE_517","ROOM_39408","APPL_4883","Bathroom","Faucet","Unknown",NA,NA
"SITE_517","ROOM_39408","APPL_32917","Bathroom","Shower","1.8","Primary","Daily / Almost Daily"
"SITE_517","ROOM_39408","APPL_87261","Bathroom","Bathtub","Unknown","Secondary","A few times per year or less"
"SITE_517","ROOM_15149","APPL_94211","Kitchen","Faucet","1.8",NA,NA
"SITE_517","ROOM_38572","APPL_14504","Laundry","Faucet","Unknown",NA,NA
"SITE_518","ROOM_10298","APPL_137700","Kitchen","Faucet","Unknown",NA,NA
"SITE_518","ROOM_4891","APPL_75090","Bathroom","Faucet","Unknown",NA,NA
"SITE_518","ROOM_4891","APPL_156671","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Primary","Daily / Almost Daily"
"SITE_519","ROOM_7532","APPL_127847","Bathroom","Faucet","Unknown",NA,NA
"SITE_519","ROOM_7532","APPL_75581","Bathroom","Shower / Bathtub combo with Diverter Valve","2.2","Primary","Daily / Almost Daily"
"SITE_519","ROOM_32621","APPL_131707","Kitchen","Faucet","1.8",NA,NA
"SITE_519","ROOM_8597","APPL_91971","Laundry","Faucet","Unknown",NA,NA
"SITE_52","ROOM_39230","APPL_92440","Bathroom","Faucet","1",NA,NA
