"SiteID","Mechanical_ID","Technology_Description","Storage_Tankless","Fuel_Type","Make","Make_Other","Model","Water_Heater_Missing_Model_Reason","Size","Size_Is_Estimated","Year_Manufactured","Serial_Number","Wifi_Enabled","Serves_Whole_House","Location","Provided_by_Heating_System","Supplemental_Solar_Water_Heating","Capacity_BTUH","Capacity_BTUH_Is_Estimated","Capacity_kW","Capacity_kW_Is_Estimated","Water_Heater_Efficiency_Type","Water_Heater_Efficiency","Water_Heater_MEF","Tank_Wrap","Tank_Wrap_Thickness","Pipe_Wrap","Pipe_Wrap_Type","Pipe_Wrap_Type_Other","Pipe_Wrap_Length","Pipe_Wrap_Length_Is_Estimated","Pipe_Wrap_Thickness","Pipe_Wrap_Thickness_Is_Estimated","Circulator_Present","Space_Is_Conditioned","HPWH_Conditioned_Space_Size","Relation_to_Space_Heating_Unit","Air_Supply_From_Inside_House","HPWH_Ducting","Within_4_feet_of_a_drain","Drain_Type","Can_Exhaust_to_Garage_or_Get_Supply_Air_from_Home_Interior","In_A_Room_Greater_Than_1.000_Cubic_Feet","Eight_feet_of_Vertical_Space","HPWH_Current_Mode","HPWH_Port_Present","Indirect_Water_Heater_Fuel"
"SITE_1919","MECH_162580","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"MI40T6FBN",NA,"40","Unknown","Unknown","GG13706159","Unknown","Unknown","Mechanical","Unknown","Unknown","40000","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA
"SITE_192","MECH_40839","Fossil Fuel Non-Condensing","Storage","Unknown","Rheem",NA,"#XG50T12HE4040",NA,"50","Measured or Known","2019","M38-1902205","No","No","Garage","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Yes","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","No","No",NA,"Next to each other","Unknown",NA,"Unknown","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1920","MECH_103302","Electric Resistance","Storage","Electric","Intertherm",NA,"#IN152DHMTE3",NA,"50","Measured or Known","Unknown","L05A048942","No","Yes","Laundry","No","No",NA,NA,"3.8","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"Yes","Plumbed drain","Yes","No","No",NA,NA,NA
"SITE_1921","MECH_162582","Electric Resistance","Storage","Electric","Craftmaster",NA,"E2F40RD045V",NA,"40","Unknown","Unknown","1328T483904","Unknown","Unknown","Outside","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA
"SITE_1922","MECH_162568","Unknown","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Bathroom","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1924","MECH_158485","Fossil Fuel Condensing","Storage","Natural Gas","Rheem",NA,"PROG50-38N RH60",NA,"50","Measured or Known","2020","M242022641","No","Yes","Garage","No","No","38000","Measured or Known",NA,NA,"Unknown","0.6","0.62","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1925","MECH_162211","Fossil Fuel Non-Condensing","Storage","Natural Gas","AO Smith",NA,"Unknown","Unknown","50","Measured or Known","Unknown","Unknown","No","Yes","Basement","No","No","Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Same room","Yes",NA,"No","Unknown","No","Unknown","No",NA,NA,NA
"SITE_1926","MECH_169996","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"RG250T6N",NA,"50","Measured or Known","Unknown","#ME36221860","No","Yes","Hallway","Yes","No","40000","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"Yes","Plumbed drain","Yes","No","Yes",NA,NA,NA
"SITE_1928","MECH_88807","Electric Resistance","Storage","Electric","Bradford White",NA,"RE12006-1NAL",NA,"19","Measured or Known","Unknown","PG39850844","No","Yes","Garage","Yes","No",NA,NA,"1.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"1","Measured or Known","14","Measured or Known","Yes","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1929","MECH_162548","Unknown","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Bathroom","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
