"SiteID","Quantity","Type","Skylight_Area_Inches","Skylight_Area_Inches_is_Estimated","Frame_Type","Glazing_Type","Opening_Type","Skylight_Direction","Shape","Shape_Other","Skylight_Height_Inches","Skylight_Width_Inches","Shade_Present","Shade_Reflective","Shade_Insulated","Area","U-Value","Skylight_UA"
"SITE_2040","1","Open","594","Estimated","Wood aluminum clad","Double","Manual","North","Rectangle / Square",NA,"33","18","No",NA,NA,"594","0.7","2.89"
"SITE_2041","2","Fixed","1012","Unknown","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"46","22","No",NA,NA,"1012","0.38","5.34"
"SITE_205","1","Fixed","1440","Estimated","Vinyl","Double","Unknown","East","Rectangle / Square",NA,"60","24","No",NA,NA,"1440","0.38","3.8"
"SITE_206","1","Fixed","2116","Measured or Known","Vinyl","Double","Unknown","West","Rectangle / Square",NA,"46","46","Yes","No","Unknown","2116","0.38","5.58"
"SITE_206","1","Fixed","840","Measured or Known","Vinyl","Double","Unknown","East","Rectangle / Square",NA,"40","21","Yes","No","Unknown","840","0.38","2.22"
"SITE_207","1","Fixed","945","Measured or Known","Vinyl","Double","Unknown","East","Rectangle / Square",NA,"45","21","No",NA,NA,"945","0.38","2.49"
"SITE_210","1","Fixed","800","Estimated","Vinyl","Unknown","Unknown","North","Rectangle / Square",NA,"40","20","No",NA,NA,"800","Unknown","Unknown"
"SITE_210","1","Fixed","400","Measured or Known","Unknown","Unknown","Unknown","South","Rectangle / Square",NA,"20","20","No",NA,NA,"400","Unknown","Unknown"
"SITE_216","2","Fixed","810","Measured or Known","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"45","18","No",NA,NA,"810","0.38","4.28"
"SITE_216","1","Fixed","1008","Measured or Known","Vinyl","Double","Unknown","East","Rectangle / Square",NA,"48","21","No",NA,NA,"1008","0.38","2.66"
"SITE_216","1","Fixed","2304","Measured or Known","Vinyl","Double","Unknown","East","Rectangle / Square",NA,"48","48","No",NA,NA,"2304","0.38","6.08"
"SITE_219","2","Open","756","Measured or Known","Wood - bare","Double","Manual","South","Rectangle / Square",NA,"42","18","No",NA,NA,"756","0.38","4"
"SITE_219","1","Fixed","576","Estimated","Wood - bare","Double","Unknown","North","Rectangle / Square",NA,"24","24","No",NA,NA,"576","0.38","1.52"
