HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,KAVALKER,PERIODKR,ORIGKERQ,SCALEKER,ORIGKRC,ORIGKERS,KAVALEL,PERIODEL,ORIGELQ,SCALEEL,ORIGELC,ORIGELS,BEGINELR,ENDELR,KAVALNG,PERIODNG,ORIGNGQ,SCALENG,ORIGNGC,ORIGNGS,BEGINNGR,ENDNGR,KAVALFO,PERIODFO,ORIGFOQ,SCALEFO,ORIGFOC,ORIGFOS,TYPEFO1,TYPEFO2,KAVALPG,PERIODLP,ORIGLPQ,SCALELP,ORIGLPC,ORIGLPS,TYPELP1,TYPELP2 
3040,  3692,9,4,9,2, 722, 1021,5,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3041,  4668,9,3,7,3,2599, 2806,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3042,  3283,9,1,1,0, 388, 8345,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,1,1,1,0,1,11,2,2,1,1,1,0,1,11,1,9
3043,  3283,9,1,1,0,1136, 5233,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,1,1,1,0,2,12,2,9,1,1,1,0,1,11,1,9
3044, 10599,9,4,9,2, 265, 5150,1,9,9,9,9,9,99,1,1,1,0,1,11,1,1,3,5,8,0,3,61,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3045, 33176,9,3,5,0,1934, 4318,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3046, 31474,9,2,3,0, 969, 5931,4,9,9,9,9,9,99,1,1,1,0,1,11,1,1,2,1,7,0,1,25,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3047, 17386,9,4,9,2,1581, 2102,5,9,9,9,9,9,99,3,5,8,0,3,51,9,9,3,5,8,0,3,51,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3048, 19952,9,2,3,0,1032, 6028,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3049, 12419,9,3,6,0,1186, 4686,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3050, 16172,9,1,2,0, 958, 5793,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3051, 20679,9,3,5,0,2287, 2603,1,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3052, 13207,9,4,9,0,  75, 5145,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,3,5,8,0,3,41,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3053, 18597,9,4,9,2, 689, 1067,5,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3054, 14692,9,3,6,0,1611, 4436,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3055, 16055,9,3,6,0,1634, 3556,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3056, 13499,9,1,1,0, 442, 8035,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,1,1,1,0,1,11,2,9,9,9,9,9,9,99,9,9
3057, 18549,9,3,5,4,3273,  505,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,1,1,1,0,1,11,1,9
3058, 11449,9,4,8,0,1929, 2795,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3059,  8494,9,3,6,0,1383, 4567,2,1,1,3,0,4,15,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3060, 11848,9,4,8,0,1960, 2677,2,9,9,9,9,9,99,1,2,5,0,1,21,1,1,1,2,5,0,1,21,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3061, 21111,9,1,2,0,1073, 5217,3,9,9,9,9,9,99,1,2,5,0,1,21,1,1,1,2,5,0,1,21,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3062,  5920,9,3,5,4,3473,  525,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3063,  7003,9,3,5,4,2524, 1377,4,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3064, 23573,9,2,3,0, 825, 6078,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3065,  8601,9,2,3,0, 487, 7830,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3066, 22126,9,3,5,0, 859, 5627,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,2,0,1,11,2,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3067, 11137,9,1,2,0,1077, 5593,5,9,9,9,9,9,99,1,2,5,0,1,21,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3068, 10405,9,1,2,0, 915, 5925,2,1,1,3,0,4,15,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,1,1,1,0,1,11,2,9,9,9,9,9,9,99,9,9
3069, 16130,9,4,9,2,1242, 2617,5,9,9,9,9,9,99,1,1,1,0,1,11,1,1,2,1,7,0,1,25,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3070,  4632,9,3,5,0,1748, 3463,5,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3071, 19899,9,1,2,0, 818, 6112,2,1,1,3,0,2,16,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3072, 14598,9,4,9,2,1562, 2268,3,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3073, 10030,9,3,5,4,3365,  422,1,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,3,5,8,0,3,43,9,9
3074, 20031,9,3,5,0, 882, 5500,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,2,0,1,11,2,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3075, 12842,9,1,2,1, 872, 5658,5,9,9,9,9,9,99,1,1,1,0,1,11,1,1,3,5,8,0,3,61,9,9,3,5,8,0,3,61,9,9,9,9,9,9,9,99,9,9
3076, 23517,9,4,9,2, 699, 1053,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3077,  4402,9,3,5,0,1241, 4556,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3078, 12826,9,2,3,0,1207, 5536,2,9,9,9,9,9,99,3,5,8,0,3,51,9,9,3,5,8,0,3,51,9,9,9,9,9,9,9,99,9,9,3,5,8,0,3,51,9,9
