HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,DOLLARKR,DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,DOLELSPH,DOLNGSPH,DOLFOSPH,DOLLPSPH,DOLKRSPH,DOLELWTH,DOLNGWTH,DOLFOWTH,DOLLPWTH,DOLKRWTH,DOLELAPL,DOLNGAPL,DOLFOAPL,DOLLPAPL,DOLKRAPL,DOLELCOL,DOLNGCOL,DOLELRFG,DOLELFZZ,DOLELCOK,DOLELDWH,DOLELCDR,DOLELLGT
4232,  7554,9,1,1,0, 605, 5970,2,   0,1486,   0, 920,  77,  78,   0, 773,   0,   0,  0,  0,147,   0,  0,1085,  0, 0, 77,0,   0,  0, 323,219,  0,  0,140,  156
4233, 10405,9,1,2,0, 933, 5869,1, 146, 732,   0, 179,   0,   0,   0, 179,   0, 146,254,  0,  0,   0,  0, 331,  0, 0,  0,0,  65,  0,  82,  0, 26,  0, 60,   55
4234, 12645,9,1,1,0, 728, 6303,2,   0, 214, 282, 607,   0,   0, 184, 607,   0,   0,  0, 69,  0,   0,  0, 160, 29, 0,  0,0,  10,  0,  44,  0,  0,  0,  0,   61
4235,  9736,9,4,8,0,4743,  791,5,   0, 391,   0,   0,   0,  48,   0,   0,   0,   0, 56,  0,  0,   0,  0,  62,  0, 0,  0,0, 137,  0,  88,  0, 11,  0,  0,   13
4236,  6204,9,3,5,0,1882, 4342,3,   0,2048,   0,   0,   0, 502,   0,   0,   0,   0,238,  0,  0,   0,  0, 777,  0, 0,  0,0, 378,  0, 153,255, 27, 31, 77,  100
4237, 21335,9,4,9,2, 365, 1765,2,   0, 509, 187,   0,   0, 296,  70,   0,   0,   0,  0, 91,  0,   0,  0, 182, 26, 0,  0,0,   0,  0,  31,  0,  0,  7,  0,   76
4238, 13670,9,1,2,1,1630, 4516,5,   0, 776, 202, 499,   0,   0,   0, 253,   0,   0,  0,  0,246,   0,  0, 643,202, 0,  0,0,   0,  0, 133,  0,  0,  0,  0,  134
4239, 21335,9,4,9,2, 795,  923,2,   0, 194, 355,   0,   0,   0, 197,   0,   0,   0,  0,123,  0,   0,  0, 105, 35, 0,  0,0,   0,  0,  89,  0,  0,  0,  0,   23
4240,  5017,9,3,7,0,1821, 3950,2,   0, 607, 381,   0,   0,   0, 234,   0,   0,   0,  0,147,  0,   0,  0, 363,  0, 0,  0,0, 177,  0,  67,  0, 25, 24, 59,   67
4241,  3962,9,1,1,0, 601, 5978,2,   0,1433,   0, 562,   0,  29,   0, 562,   0,   0,330,  0,  0,   0,  0, 720,  0, 0,  0,0, 108,  0, 246, 61, 36,  0, 52,   65
4242,  3869,9,2,3,0, 755, 6375,2,   0,1158,   0,   0, 938,   0,   0,   0, 683,   0,  0,  0,  0, 255,  0, 825,  0, 0,  0,0, 232,  0, 101, 71, 32, 53,145,  123
4243, 10363,9,3,7,3,3437, 1965,2,   0,1085, 428,   0,   0,   0, 214,   0,   0,   0,  0,168,  0,   0,  0, 590, 46, 0,  0,0, 204,  0, 291,  0,  0,  0,111,  157
4244,  5405,9,1,2,1, 606, 7206,5,   0, 366,   0,   0,   0, 176,   0,   0,   0,   0, 47,  0,  0,   0,  0,  96,  0, 0,  0,0,   0,  0,  47, 30, 10,  0,  0,   19
4245,  3976,9,3,7,3,2259, 3206,2,   0,1216, 735,   0,   0,   0, 468,   0,   0,   0,  0,214,  0,   0,  0, 539, 53, 0,  0,0, 562,  0, 115,  0,  0, 79, 76,   86
4246,  8317,9,4,8,0, 573, 5796,2,   0,1094,   0,   0,   0,   0,   0,   0,   0,   0,229,  0,  0,   0,  0, 654,  0, 0,  0,0,  28,  0, 183, 75, 46,  0,141,  112
4247, 16557,9,3,7,3,3673, 1520,2,   0,1463,   0,   0,   0, 221,   0,   0,   0,   0,192,  0,  0,   0,  0, 566,  0, 0,  0,0, 361,  0, 123, 96, 24, 23, 45,   99
4248, 25393,9,3,6,0,1559, 3129,5,   0,1177,   0,   0,   0, 240,   0,   0,   0,   0,316,  0,  0,   0,  0, 281,  0, 0,  0,0, 138,  0, 202,  0, 39,  0,  0,   97
4249, 22126,9,3,5,0, 840, 5730,2,   0, 223, 902,   0,   0,   0, 772,   0,   0,   0,  0, 97,  0,   0,  0,  95, 33, 0,  0,0,  47,  0,  81,  0,  0,  0,  0,   25
4250, 16853,9,3,7,0,1943, 3855,2,   0,2190, 562,   0,   0,   0, 348,   0,   0,   0,  0,169,  0,   0,  0,1293, 45, 0,  0,0, 664,  0, 233,180,  0,  0,342,  152
4251, 12070,9,4,9,2, 624, 1153,5,   0, 255, 177,   0,   0,   0,  50,   0,   0,   0,  0, 98,  0,   0,  0, 131, 29, 0,  0,0,  29,  0,  95,  0,  0,  0,  0,   71
4252,  8244,9,3,6,0,2259, 2588,2,   0, 698,   0,   0, 423,  80,   0,   0, 229,   0,  0,  0,  0, 194,  0, 450,  0, 0,  0,0, 110,  0,  58, 61, 76,  0,  0,   72
4253,  7342,9,1,2,1,1289, 4756,5,  12, 580, 147, 117,   0,   0,   0, 117,   0,   0,  0,  0,  0,   0, 12, 376,147, 0,  0,0,  86,  0, 118,  0,  0,  0,  0,  118
4254, 19866,9,2,4,0,1093, 5660,2,   0, 708, 534,   0,   0,   0, 383,   0,   0,   0,  0,151,  0,   0,  0, 468,  0, 0,  0,0, 120,  0, 120,  0, 42, 23, 57,   36
4255, 25347,9,4,9,2, 273, 2462,2,   0, 809,1084,   0,   0,   0, 818,   0,   0,   0,  0,239,  0,   0,  0, 698, 27, 0,  0,0,   0,  0, 111,105, 77, 70,  0,  124
4256, 19690,9,2,4,0, 764, 7036,2,   0, 560, 304,   0,   0,   0, 204,   0,   0,   0,  0,100,  0,   0,  0, 396,  0, 0,  0,0,  46,  0, 118,  0, 27,  0, 77,   98
4257, 16693,9,3,5,0,1026, 4711,4,   0, 321, 694,   0,   0,  25, 417,   0,   0,   0,  0,217,  0,   0,  0, 181, 60, 0,  0,0,  28,  0,  87,  0,  0,  0,  0,   56
4258, 24480,9,2,3,0, 748, 6434,5,   0, 704,   0,   0,   0, 320,   0,   0,   0,   0, 77,  0,  0,   0,  0, 150,  0, 0,  0,0,  57,  0, 100,  0, 16,  0,  0,   60
4259, 14180,9,2,4,0,1102, 5634,1,   0, 704,   0,   0, 560,   0,   0,   0, 503,   0,230,  0,  0,   0,  0, 256,  0, 0, 57,0, 180,  0,  38,  0,  0,  0, 48,   45
4260,  3719,9,2,4,0, 566, 7921,2,   0, 390,   0,   0, 417,   0,   0,   0, 315,   0,  0,  0,  0, 102,  0, 284,  0, 0,  0,0,  67,  0,  39,  0, 20, 18, 36,   42
4261, 14767,9,2,4,0, 240, 9056,2,   0, 971,   0, 673,   0,  32,   0, 673,   0,   0,334,  0,  0,   0,  0, 518,  0, 0,  0,0,  13,  0,  74,124, 65,  0, 57,   90
4262,  3971,9,3,5,0,1592, 3770,2,   0, 850, 734,   0,   0,   0, 472,   0,   0,   0,  0,262,  0,   0,  0, 457,  0, 0,  0,0, 278,  0, 115, 75, 30, 28, 55,   54
