HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,FUELH2O,ZFUELH2O,WHEATOTH,ZWHEATOT,WHEATSIZ,ZWHEATSI,WHEATAGE,ZWHEATAG,WHEATNEW,ZWHEATNE,WHEATSEL,ZWHEATSE,WHTSAME,ZWHTSAME,WHPRICE,ZWHPRICE,WHAVAIL,ZWHAVAIL,WHEFFICT,ZWHEFFIC,WHREBATE,ZWHREBAT,SHOWERS,ZSHOWERS,UAUXH2OF,ZUAUXH2O,FAUXH2O,ZFAUXH2O,CENACHP,ZCENACHP,COOLMAIN,ZCOOLMAI,COOLUNIT,ZCOOLUNI,AIRCOND,ZAIRCOND,ACHOUSE,ZACHOUSE,ACROOMS,ZACROOMS,USECENAC,ZUSECENA,FUELCOOL,ZFUELCOO,ACOTHERS,ZACOTHER,AGECENAC,ZAGECENA,ACNEW,ZACNEW,ACSELECT,ZACSELEC,ACREPLAC,ZACREPLA,ACWORK,ZACWORK,ACPRICE,ZACPRICE,ACREPUTE,ZACREPUT,ACEFFICT,ZACEFFIC,ACREBATE,ZACREBAT,NUMBERAC,ZNUMBERA,WWHTPUMP,ZWWHTPUM,WWACAGE,ZWWACAGE,USEWWAC,ZUSEWWAC,LGT12,ZLGT12,FLRLGT12,ZFLLGT12,LGT4,ZLGT4,FLRLGT4,ZFLRLGT4,LGT1,ZLGT1,FLRLGT1,ZFLRLGT1,OUTLGTNO,OUTLGTEV,OUTLGTNT,OUTLGTTI,GASLIGHT,OUTLGTHI,OUTLGTLW,OUTLGTDK
1032, 23573,9,2,3,0, 968, 5932,2, 1,0,0,0,2,0,2,0,0,1,9,1,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,0,0,1,0,0,0,1,0,1,1,99,0,2,1, 5,0,0,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 2,0, 0,0, 4,0, 2,0,0,0,0,1,0,0,0,0
1033,  9183,9,2,4,0, 422, 8714,5, 5,1,0,1,2,1,3,1,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,9,0,9,0,9,0,0,0,9,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,1,99,0, 1,0, 0,1, 2,0, 1,1,0,0,0,0,0,0,0,0
1034, 14582,9,4,8,0,1885, 2738,2, 1,0,0,0,1,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,9,0,9,0,9,0,0,0,9,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 0,0,99,0, 3,0, 0,0,1,0,0,0,0,0,1,0
1035, 19113,9,2,4,0, 469, 8214,5, 1,1,1,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,0,0,0,0,1,0,1,0,1,1,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 1,0,0,0,6,0,1,1, 0,0,99,0, 2,0, 0,0, 4,0, 0,0,0,0,0,0,0,0,0,0
1036, 14900,9,2,4,0,1091, 5664,2, 2,0,0,0,1,0,2,0,1,0,9,0,1,0,1,0,1,0,1,0,3,0,2,0,0,0,99,0,0,0,0,0,1,0,1,0,1,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 3,0,0,0,4,0,1,0, 1,0, 0,0, 5,0, 0,0, 3,0, 0,0,1,0,1,0,0,0,0,0
1037, 10365,9,2,3,0, 755, 6375,3, 1,0,0,0,2,0,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,3,0,0,0,99,0,0,0,0,0,1,0,1,0,2,0, 3,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 1,0,0,0,1,0,1,0, 3,0, 1,0, 2,0, 0,0, 1,0, 1,0,0,1,0,0,0,0,0,0
1038,  8045,9,1,1,0, 877, 6080,5, 1,0,0,0,1,1,5,1,9,0,9,0,9,0,9,0,9,0,9,0,9,0,1,0,0,0,99,0,0,0,0,0,1,0,1,0,1,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 1,0,0,0,2,0,1,0, 0,0,99,0, 2,0, 0,0, 0,0,99,0,0,0,0,0,0,0,0,0
1039, 25347,9,4,9,2, 842, 2036,2, 1,0,0,0,6,0,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,9,0,9,0,9,0,0,0,9,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 6,0, 0,0, 1,0, 0,0,0,1,0,0,0,0,1,0
1040,  7623,9,4,8,0,1885, 2738,2, 1,0,0,0,2,0,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,1,0,0,0,99,0,0,0,1,0,0,0,1,0,1,0,99,0,1,0, 5,0,0,0,2,0,1,0,9,0,1,0,4,0,1,0,2,0,1,0,3,0,99,0,9,0,9,0,9,0, 0,0,99,0, 0,0,99,0, 1,0, 0,0,0,0,0,0,0,0,0,0
1041, 23573,9,2,3,0, 968, 5932,2, 1,0,0,0,3,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,3,0,0,0,99,0,0,0,1,0,0,0,1,0,1,0,99,0,1,0, 5,0,0,0,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 1,0, 0,0, 3,0, 0,0, 0,0,99,0,0,1,0,0,0,0,0,0
1042,  9204,9,3,7,0,1997, 3808,5, 1,0,0,0,2,0,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,1,0,0,0,99,0,0,0,0,0,1,0,1,0,2,0, 1,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 1,0,0,0,6,0,3,0, 2,0, 0,0, 0,0,99,0, 0,0,99,0,0,0,1,0,0,0,0,0
1043, 24904,9,2,3,0,1083, 5665,2, 1,0,0,0,2,0,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,3,0,0,0,99,0,0,0,0,0,1,0,1,0,1,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 3,0,0,0,2,0,3,0, 1,0, 0,0, 3,0, 0,0, 1,0, 0,0,1,0,0,0,0,0,1,0
1044,  4481,9,2,4,0,1336, 5194,2, 1,0,0,0,3,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,0,0,1,0,0,0,1,0,2,0, 7,0,3,0, 5,0,0,0,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 5,0, 1,0, 5,0, 0,0,0,0,0,1,0,0,0,0
