vintage_era,month,total_therms,equipment_count,avg_therms,year
2010-2014,11,1004017.4469737335,22504,44.615066075974646,2030
2010-2014,12,1262367.7169328255,22504,56.09525937312591,2030
2015+,1,1136902.5779163495,20822,54.60102669850877,2030
2015+,2,834045.3615483707,20822,40.05596780080543,2030
2015+,3,713332.51528611,20822,34.25859741072471,2030
2015+,4,500170.74711903837,20822,24.02126342901923,2030
2015+,5,319041.7828715926,20822,15.322340931303074,2030
2015+,6,82312.65054594552,20822,3.953157744018131,2030
2015+,7,245.4331425557996,20822,0.011787203081154529,2030
2015+,8,9356.686540515106,20822,0.4493654087270726,2030
2015+,9,53193.857839502634,20822,2.5546949303382305,2030
2015+,10,360995.56478202617,20822,17.337218556431957,2030
2015+,11,733089.7501702496,20822,35.207460866883565,2030
2015+,12,921730.900776938,20822,44.26716457482173,2030
pre-1980,1,7156984.643786358,76424,93.6483911308798,2030
pre-1980,2,5248066.812726703,76424,68.67040213449575,2030
pre-1980,3,4488951.025353114,76424,58.73745191763208,2030
pre-1980,4,3147954.0351889273,76424,41.1906473776422,2030
pre-1980,5,2008527.0000763794,76424,26.281364493828892,2030
pre-1980,6,518032.6710780795,76424,6.778403002696528,2030
pre-1980,7,1544.5185014507094,76424,0.020209862104191217,2030
pre-1980,8,58892.895524259264,76424,0.7706073422519008,2030
pre-1980,9,334755.529632047,76424,4.380240888098594,2030
pre-1980,10,2272380.4762829295,76424,29.73385947193198,2030
pre-1980,11,4615108.462760541,76424,60.38820871402361,2030
pre-1980,12,5800496.253486916,76424,75.89888324985498,2030
1980-1999,1,4581024.157754443,53715,85.28389011923007,2031
1980-1999,2,3360896.3918819753,53715,62.56904760089314,2031
1980-1999,3,2874668.7720632073,53715,53.51705802966038,2031
1980-1999,4,2014923.8146028446,53715,37.51138070562868,2031
1980-1999,5,1285204.6107865716,53715,23.926363414066305,2031
1980-1999,6,331586.08186442725,53715,6.173063052488639,2031
1980-1999,7,988.5709568849516,53715,0.01840400180368522,2031
1980-1999,8,37702.29566391424,53715,0.7018951068400678,2031
1980-1999,9,214377.06353498483,53715,3.9910092811130005,2031
1980-1999,10,1454221.6338765153,53715,27.072915086596208,2031
1980-1999,11,2953664.4786478914,53715,54.987703223455114,2031
1980-1999,12,3713967.644026614,53715,69.14209520667623,2031
2000-2009,1,5557451.488376817,73137,75.98686695348205,2031
2000-2009,2,4077818.846845759,73137,55.75589437419855,2031
2000-2009,3,3487331.755759807,73137,47.68218214802093,2031
2000-2009,4,2445341.78482311,73137,33.435084633265106,2031
2000-2009,5,1559530.294086766,73137,21.323410778221227,2031
2000-2009,6,402288.2885183498,73137,5.500475662364464,2031
2000-2009,7,1199.8633255075758,73137,0.01640569514073008,2031
2000-2009,8,45742.46664473858,73137,0.6254353698502616,2031
2000-2009,9,260050.10116765532,73137,3.555657207263838,2031
2000-2009,10,1764717.3318281418,73137,24.12892697031792,2031
2000-2009,11,3583398.8097668127,73137,48.995704086396934,2031
2000-2009,12,4506419.247417644,73137,61.61613475282885,2031
2010-2014,1,1544184.0517775365,22504,68.61820350948882,2031
2010-2014,2,1132935.4588615333,22504,50.34373706281254,2031
2010-2014,3,968952.8957125383,22504,43.05691857947646,2031
2010-2014,4,679457.3294562971,22504,30.192735933891623,2031
2010-2014,5,433359.9734370564,22504,19.25701979368363,2031
2010-2014,6,111817.53867811359,22504,4.968785046130181,2031
2010-2014,7,333.2805091464409,22504,0.014809834213759372,2031
