"PK_WaterDetail_ID","CK_SiteID","CK_RoomID","Room Name","Room Type","Fixture Type","Rated GPM","Rated GPM_Notes","Measured GPM","Measured GPM_Notes","Primary Shower","Secondary Shower Usage","Notes"
"Water_00003123","SITE_01720","Room_00021217","Bathroom_1","Bathroom","Bathroom Faucet",,"Unknown",,"Unknown","N/A","N/A","Faucet too large for the bag"
"Water_00003124","SITE_01720","Room_00021217","Bathroom_1","Bathroom","Shower",,"Unknown",,"Unknown","Secondary","A few times per year","Showerhead flow too large for bucket to calculate"
"Water_00003125","SITE_01927","Room_00023426","Kitchen_1","Kitchen","Kitchen Faucet",,"Unknown",1.5000,,"N/A","N/A","N/A"
"Water_00003126","SITE_01927","Room_00023429","Bathroom_1","Bathroom","Bathroom Faucet",2.0000,,1.3000,,"N/A","N/A","N/A"
"Water_00003127","SITE_01927","Room_00023429","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.5000,,2.0000,,"Secondary","A few times per year","Shower hardly ever, bathtub more often."
"Water_00003128","SITE_01927","Room_00023431","Bathroom_2","Bathroom","Bathroom Faucet",2.2000,,2.4000,,"N/A","N/A","N/A"
"Water_00003129","SITE_01927","Room_00023431","Bathroom_2","Bathroom","Shower",2.5000,,3.0000,,"Primary","Daily / Almost Daily","The shower head"
"Water_00003130","SITE_01688","Room_00020889","Kitchen_1","Kitchen","Kitchen Faucet",,"Unknown",1.4000,,"N/A","N/A","N/A"
"Water_00003131","SITE_01688","Room_00020890","Bathroom_1","Bathroom","Bathroom Faucet",1.5000,,0.9000,,"N/A","N/A","N/A"
"Water_00003132","SITE_01688","Room_00020890","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.5000,,1.5000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003133","SITE_01688","Room_00020893","Bathroom_2","Bathroom","Bathroom Faucet",,"Unknown",2.5000,,"N/A","N/A","N/A"
"Water_00003134","SITE_01688","Room_00020893","Bathroom_2","Bathroom","Shower",1.5000,,1.1000,,"Secondary","Daily / Almost Daily","N/A"
"Water_00003135","SITE_01918","Room_00023299","Kitchen_1","Kitchen","Kitchen Faucet",1.5000,,1.4000,,"N/A","N/A","N/A"
"Water_00003136","SITE_01918","Room_00023301","Bathroom_1","Bathroom","Bathroom Faucet",2.0000,,2.6000,,"N/A","N/A","N/A"
