"PK_WindowDetail_ID","CK_SiteID","CK_RoomID","Type","Sub-Type","Area","Area_Notes","Quantity","Quantity_Notes","Frame / Body Type","Glazing Type","Window Direction","Window Frame Category","Glazing Frame Category","U-Value","U-Value_Notes","Window UA","Window UA_Notes","Notes"
"Window_00006485","SITE_01891","Room_00022892","Window","Fixed (picture)",16.0000,,1,,"Aluminum","Double","East","Metal","Double",0.6600,,10.4800,,"N/A"
"Window_00006486","SITE_01891","Room_00022895","Window","Single-hung",13.6111,,1,,"Aluminum","Double","South","Metal","Double",0.6600,,8.9200,,"N/A"
"Window_00006487","SITE_01891","Room_00022895","Window","Single-hung",13.6111,,1,,"Aluminum","Double","SW","Metal","Double",0.6600,,8.9200,,"N/A"
"Window_00006488","SITE_01891","Room_00022895","Window","Single-hung",13.6111,,3,,"Aluminum","Double","West","Metal","Double",0.6600,,26.7500,,"N/A"
"Window_00006489","SITE_01891","Room_00022895","Window","Single-hung",10.6944,,1,,"Aluminum","Double","North","Metal","Double",0.6600,,7.0000,,"N/A"
"Window_00006490","SITE_01891","Room_00022895","Door","Single",16.6667,,1,,"Wood Solid Core","French door","N/A","N/A","N/A",0.4000,,6.6700,,"N/A"
"Window_00006491","SITE_01891","Room_00022896","Window","Fixed (picture)",10.2083,,1,,"Aluminum","Double","North","Metal","Double",0.6600,,6.6900,,"N/A"
"Window_00006492","SITE_01891","Room_00022896","Window","Fixed (picture)",8.6250,,1,,"Aluminum","Double","NW","Metal","Double",0.6600,,5.6500,,"N/A"
"Window_00006493","SITE_01891","Room_00022896","Window","Slider",10.8611,,2,,"Aluminum","Double","West","Metal","Double",0.6600,,14.2300,,"N/A"
"Window_00006494","SITE_01891","Room_00022896","Door","Single",16.6667,,1,,"Wood Solid Core","French door","N/A","N/A","N/A",0.4000,,6.6700,,"N/A"
"Window_00006495","SITE_01891","Room_00022896","Window","Fixed (picture)",10.8611,,1,,"Aluminum","Double","SW","Metal","Double",0.6600,,7.1100,,"N/A"
"Window_00006496","SITE_01891","Room_00022896","Window","Fixed (picture)",6.7083,,1,,"Aluminum","Double","South","Metal","Double",0.6600,,4.3900,,"N/A"
"Window_00006497","SITE_01891","Room_00022896","Window","Slider",10.8611,,1,,"Aluminum","Double","South","Metal","Double",0.6600,,7.1100,,"N/A"
"Window_00006498","SITE_01891","Room_00022897","Window","Slider",14.6944,,1,,"Aluminum","Double","North","Metal","Double",0.6600,,9.6200,,"N/A"
"Window_00006499","SITE_01891","Room_00022898","Window","Slider",10.6250,,3,,"Aluminum","Double","West","Metal","Double",0.6600,,20.8800,,"N/A"
"Window_00006500","SITE_01891","Room_00022898","Window","Fixed (picture)",8.4375,,1,,"Aluminum","Double","SW","Metal","Double",0.6600,,5.5300,,"N/A"
"Window_00006501","SITE_01891","Room_00022898","Door","Single",16.6667,,1,,"Wood Solid Core","French door","N/A","N/A","N/A",0.4000,,6.6700,,"N/A"
"Window_00006502","SITE_01891","Room_00022898","Window","Fixed (picture)",5.5417,,1,,"Aluminum","Double","North","Metal","Double",0.6600,,3.6300,,"N/A"
"Window_00006503","SITE_01891","Room_00022899","Window","Slider",16.1111,,1,,"Aluminum","Double","North","Metal","Double",0.6600,,10.5500,,"N/A"
"Window_00006504","SITE_01891","Room_00022902","Window","Fixed (picture)",6.0417,,2,,"Aluminum","Double","West","Metal","Double",0.6600,,7.9100,,"N/A"
"Window_00006505","SITE_01891","Room_00022902","Door","Unknown",,"Unknown",1,,"Unknown","Unknown","N/A","N/A","N/A",,"Unknown",,"Unknown","N/A"
"Window_00006506","SITE_01891","Room_00022902","Window","Slider",10.5417,,1,,"Aluminum","Double","South","Metal","Double",0.6600,,6.9000,,"N/A"
"Window_00006507","SITE_01099","Room_00016085","Window","Slider",38.8889,,1,,"Vinyl","Double","SE","Wood, Vinyl, or Fiberglass","Double",0.4400,,17.1700,,"N/A"
"Window_00006508","SITE_01099","Room_00016086","Door","Single",20.0000,,1,,"Wood Solid Core","None","N/A","N/A","N/A",0.4000,,8.0000,,"N/A"
"Window_00006509","SITE_01099","Room_00016087","Window","Slider",18.5278,,2,,"Vinyl","Double","SE","Wood, Vinyl, or Fiberglass","Double",0.4400,,16.3600,,"N/A"
"Window_00006510","SITE_01099","Room_00016087","Window","Slider",18.5278,,1,,"Vinyl","Double","SW","Wood, Vinyl, or Fiberglass","Double",0.4400,,8.1800,,"N/A"
"Window_00006511","SITE_01099","Room_00016088","Door","Single",20.0000,,1,,"Fiberglass","Decorative window (arch, etc.)","N/A","N/A","N/A",0.8500,,17.0700,,"N/A"
