station,ghcnd_id,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KAST,GHCND:USW00094224,2010-06-30,58.7,65.8,51.7,6.0,-7777.0
KAST,GHCND:USW00094224,2010-07-01,58.9,65.9,51.8,6.0,-7777.0
KAST,GHCND:USW00094224,2010-07-02,59.0,66.1,51.9,6.0,-7777.0
KAST,GHCND:USW00094224,2010-07-03,59.1,66.2,52.0,6.0,-7777.0
KAST,GHCND:USW00094224,2010-07-04,59.2,66.3,52.1,6.0,-7777.0
KAST,GHCND:USW00094224,2010-07-05,59.3,66.4,52.2,6.0,-7777.0
KAST,GHCND:USW00094224,2010-07-06,59.5,66.6,52.4,6.0,-7777.0
KAST,GHCND:USW00094224,2010-07-07,59.6,66.7,52.5,5.0,-7777.0
KAST,GHCND:USW00094224,2010-07-08,59.7,66.8,52.6,5.0,-7777.0
KAST,GHCND:USW00094224,2010-07-09,59.8,66.9,52.7,5.0,-7777.0
KAST,GHCND:USW00094224,2010-07-10,59.9,67.0,52.8,5.0,-7777.0
KAST,GHCND:USW00094224,2010-07-11,60.0,67.1,52.9,5.0,-7777.0
KAST,GHCND:USW00094224,2010-07-12,60.1,67.2,52.9,5.0,-7777.0
KAST,GHCND:USW00094224,2010-07-13,60.2,67.3,53.0,5.0,-7777.0
KAST,GHCND:USW00094224,2010-07-14,60.3,67.4,53.1,5.0,-7777.0
KAST,GHCND:USW00094224,2010-07-15,60.3,67.5,53.2,5.0,-7777.0
KAST,GHCND:USW00094224,2010-07-16,60.4,67.6,53.3,5.0,-7777.0
KAST,GHCND:USW00094224,2010-07-17,60.5,67.6,53.3,5.0,-7777.0
KAST,GHCND:USW00094224,2010-07-18,60.6,67.7,53.4,5.0,-7777.0
KAST,GHCND:USW00094224,2010-07-19,60.6,67.8,53.5,4.0,-7777.0
KAST,GHCND:USW00094224,2010-07-20,60.7,67.8,53.5,4.0,-7777.0
KAST,GHCND:USW00094224,2010-07-21,60.7,67.9,53.6,4.0,-7777.0
KAST,GHCND:USW00094224,2010-07-22,60.8,68.0,53.6,4.0,-7777.0
KAST,GHCND:USW00094224,2010-07-23,60.8,68.0,53.7,4.0,-7777.0
KAST,GHCND:USW00094224,2010-07-24,60.9,68.0,53.7,4.0,-7777.0
KAST,GHCND:USW00094224,2010-07-25,60.9,68.1,53.7,4.0,-7777.0
KAST,GHCND:USW00094224,2010-07-26,60.9,68.1,53.8,4.0,-7777.0
KAST,GHCND:USW00094224,2010-07-27,61.0,68.2,53.8,4.0,-7777.0
KAST,GHCND:USW00094224,2010-07-28,61.0,68.2,53.8,4.0,-7777.0
KAST,GHCND:USW00094224,2010-07-29,61.0,68.2,53.8,4.0,-7777.0
KAST,GHCND:USW00094224,2010-07-30,61.0,68.3,53.8,4.0,-7777.0
KAST,GHCND:USW00094224,2010-07-31,61.0,68.3,53.8,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-01,61.1,68.3,53.8,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-02,61.1,68.3,53.8,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-03,61.1,68.4,53.8,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-04,61.1,68.4,53.8,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-05,61.1,68.4,53.7,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-06,61.1,68.4,53.7,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-07,61.1,68.5,53.7,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-08,61.1,68.5,53.6,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-09,61.1,68.5,53.6,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-10,61.1,68.5,53.6,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-11,61.0,68.6,53.5,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-12,61.0,68.6,53.5,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-13,61.0,68.6,53.4,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-14,61.0,68.7,53.4,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-15,61.0,68.7,53.3,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-16,61.0,68.7,53.2,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-17,61.0,68.7,53.2,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-18,60.9,68.8,53.1,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-19,60.9,68.8,53.0,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-20,60.9,68.8,53.0,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-21,60.9,68.9,52.9,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-22,60.8,68.9,52.8,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-23,60.8,68.9,52.7,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-24,60.8,68.9,52.6,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-25,60.7,68.9,52.5,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-26,60.7,69.0,52.4,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-27,60.6,69.0,52.3,4.0,-7777.0
KAST,GHCND:USW00094224,2010-08-28,60.6,69.0,52.2,5.0,-7777.0
KAST,GHCND:USW00094224,2010-08-29,60.5,69.0,52.1,5.0,-7777.0
KAST,GHCND:USW00094224,2010-08-30,60.5,69.0,52.0,5.0,-7777.0
KAST,GHCND:USW00094224,2010-08-31,60.4,69.0,51.9,5.0,-7777.0
KAST,GHCND:USW00094224,2010-09-01,60.4,69.0,51.8,5.0,-7777.0
KAST,GHCND:USW00094224,2010-09-02,60.3,68.9,51.6,5.0,-7777.0
KAST,GHCND:USW00094224,2010-09-03,60.2,68.9,51.5,5.0,-7777.0
KAST,GHCND:USW00094224,2010-09-04,60.1,68.9,51.4,5.0,-7777.0
KAST,GHCND:USW00094224,2010-09-05,60.0,68.9,51.2,5.0,-7777.0
KAST,GHCND:USW00094224,2010-09-06,59.9,68.8,51.1,5.0,-7777.0
KAST,GHCND:USW00094224,2010-09-07,59.8,68.8,50.9,5.0,-7777.0
KAST,GHCND:USW00094224,2010-09-08,59.7,68.7,50.8,5.0,-7777.0
KAST,GHCND:USW00094224,2010-09-09,59.6,68.6,50.6,6.0,-7777.0
KAST,GHCND:USW00094224,2010-09-10,59.5,68.5,50.5,6.0,-7777.0
KAST,GHCND:USW00094224,2010-09-11,59.4,68.5,50.3,6.0,-7777.0
KAST,GHCND:USW00094224,2010-09-12,59.2,68.4,50.1,6.0,-7777.0
KAST,GHCND:USW00094224,2010-09-13,59.1,68.2,50.0,6.0,-7777.0
KAST,GHCND:USW00094224,2010-09-14,59.0,68.1,49.8,6.0,-7777.0
KAST,GHCND:USW00094224,2010-09-15,58.8,68.0,49.6,6.0,-7777.0
KAST,GHCND:USW00094224,2010-09-16,58.6,67.9,49.4,7.0,-7777.0
KAST,GHCND:USW00094224,2010-09-17,58.5,67.7,49.2,7.0,-7777.0
KAST,GHCND:USW00094224,2010-09-18,58.3,67.6,49.0,7.0,-7777.0
KAST,GHCND:USW00094224,2010-09-19,58.1,67.4,48.8,7.0,-7777.0
KAST,GHCND:USW00094224,2010-09-20,57.9,67.2,48.6,7.0,-7777.0
KAST,GHCND:USW00094224,2010-09-21,57.8,67.0,48.5,7.0,-7777.0
KAST,GHCND:USW00094224,2010-09-22,57.6,66.9,48.3,8.0,-7777.0
KAST,GHCND:USW00094224,2010-09-23,57.4,66.7,48.1,8.0,-7777.0
KAST,GHCND:USW00094224,2010-09-24,57.2,66.5,47.9,8.0,-7777.0
KAST,GHCND:USW00094224,2010-09-25,56.9,66.2,47.7,8.0,-7777.0
KAST,GHCND:USW00094224,2010-09-26,56.7,66.0,47.5,8.0,-7777.0
KAST,GHCND:USW00094224,2010-09-27,56.5,65.8,47.3,9.0,-7777.0
KAST,GHCND:USW00094224,2010-09-28,56.3,65.6,47.1,9.0,-7777.0
KAST,GHCND:USW00094224,2010-09-29,56.1,65.3,46.9,9.0,-7777.0
KAST,GHCND:USW00094224,2010-09-30,55.9,65.1,46.7,9.0,-7777.0
KAST,GHCND:USW00094224,2010-10-01,55.7,64.8,46.5,9.0,-7777.0
KAST,GHCND:USW00094224,2010-10-02,55.4,64.6,46.3,10.0,-7777.0
KAST,GHCND:USW00094224,2010-10-03,55.2,64.3,46.1,10.0,-7777.0
KAST,GHCND:USW00094224,2010-10-04,55.0,64.1,45.9,10.0,-7777.0
KAST,GHCND:USW00094224,2010-10-05,54.8,63.8,45.8,10.0,-7777.0
KAST,GHCND:USW00094224,2010-10-06,54.6,63.5,45.6,10.0,-7777.0
KAST,GHCND:USW00094224,2010-10-07,54.3,63.3,45.4,11.0,-7777.0
KAST,GHCND:USW00094224,2010-10-08,54.1,63.0,45.2,11.0,-7777.0
KAST,GHCND:USW00094224,2010-10-09,53.9,62.7,45.1,11.0,-7777.0
KAST,GHCND:USW00094224,2010-10-10,53.7,62.5,44.9,11.0,-7777.0
KAST,GHCND:USW00094224,2010-10-11,53.5,62.2,44.8,12.0,-7777.0
KAST,GHCND:USW00094224,2010-10-12,53.3,61.9,44.6,12.0,-7777.0
KAST,GHCND:USW00094224,2010-10-13,53.1,61.7,44.5,12.0,-7777.0
KAST,GHCND:USW00094224,2010-10-14,52.9,61.4,44.3,12.0,-7777.0
KAST,GHCND:USW00094224,2010-10-15,52.7,61.1,44.2,12.0,-7777.0
KAST,GHCND:USW00094224,2010-10-16,52.5,60.9,44.1,13.0,-7777.0
KAST,GHCND:USW00094224,2010-10-17,52.3,60.6,43.9,13.0,-7777.0
KAST,GHCND:USW00094224,2010-10-18,52.1,60.3,43.8,13.0,-7777.0
KAST,GHCND:USW00094224,2010-10-19,51.9,60.1,43.7,13.0,-7777.0
KAST,GHCND:USW00094224,2010-10-20,51.7,59.8,43.6,13.0,-7777.0
KAST,GHCND:USW00094224,2010-10-21,51.5,59.6,43.5,13.0,-7777.0
KAST,GHCND:USW00094224,2010-10-22,51.3,59.3,43.3,14.0,0.0
KAST,GHCND:USW00094224,2010-10-23,51.1,59.1,43.2,14.0,0.0
KAST,GHCND:USW00094224,2010-10-24,51.0,58.8,43.1,14.0,0.0
KAST,GHCND:USW00094224,2010-10-25,50.8,58.6,43.0,14.0,0.0
KAST,GHCND:USW00094224,2010-10-26,50.6,58.3,42.9,14.0,0.0
KAST,GHCND:USW00094224,2010-10-27,50.4,58.1,42.8,15.0,0.0
KAST,GHCND:USW00094224,2010-10-28,50.2,57.8,42.7,15.0,0.0
KAST,GHCND:USW00094224,2010-10-29,50.1,57.6,42.6,15.0,0.0
KAST,GHCND:USW00094224,2010-10-30,49.9,57.3,42.5,15.0,0.0
KAST,GHCND:USW00094224,2010-10-31,49.7,57.1,42.3,15.0,0.0
KAST,GHCND:USW00094224,2010-11-01,49.5,56.9,42.2,15.0,0.0
